name,category,address,city,state,zip,phone,website,description,interstate,exitnumber,showers,food,fuel,laundry,restrooms,repair,catscale,wifi,security
I-90 Travel Center Truck & Trailer Wash,truck-washes,1821 S Burr St,Mitchell,SD,57301,,,Truck and trailer wash offered on-site at the I-90 Travel Center at I-90 Exit 332 in Mitchell.,I-90,332,,,,,,,,,
Larry's I-90 Service,roadside-service,1510 S Burr St,Mitchell,SD,57301,605-996-1042,https://www.larrysi90autoservice.com/,"Auto and truck repair / tire shop just off I-90 Exit 332 in Mitchell, serving the Mitchell-Sioux Falls-Huron area.",I-90,332,,,,,,yes,,,
Super 8 by Wyndham Mitchell,hotels-truck-parking,,Mitchell,SD,57301,,https://www.super8mitchell.com/,"Hotel just off I-90 Exit 332 in Mitchell (across from the I-90 Travel Center) offering free parking with outdoor electrical outlets for trucks, buses and RVs, plus guest laundry.",I-90,332,,,,yes,,,,yes,
Salem Rest Area,parking,,Salem,SD,,,https://dot.sd.gov/,"SDDOT interstate rest area on I-90 near mile marker 362 (both directions) between Salem and Emery, with restrooms and car/truck parking.",I-90,,,,,,yes,,,,
Hartford BP,truck-stops,1001 S Western Ave,Hartford,SD,57033,,,"Fuel stop at I-90 Exit 387 in Hartford with truck parking, a restaurant/deli, convenience store, laundromat and repair/tire service (Exit 387 interchange under reconstruction in 2025).",I-90,387,,yes,yes,yes,yes,yes,,,
Love's Travel Stop #445,truck-stops,5301 N Cliff Ave,Sioux Falls,SD,57104,605-332-7611,https://www.loves.com/locations/445,"24-hour Love's travel stop at I-90 Exit 399 (Cliff Ave) with diesel lanes, truck parking, showers, Subway, laundry, Love's Truck Care (tire/light mechanical), Wi-Fi and a CAT Scale.",I-90,399,yes,yes,yes,yes,yes,yes,yes,yes,
CAT Scale at Love's Sioux Falls,cat-scales,5301 N Cliff Ave,Sioux Falls,SD,57104,605-332-7611,https://catscale.com/cat-scale-locator/,"Certified CAT Scale at I-90 Exit 399 (Cliff Ave) in Sioux Falls, co-located at Love's Travel Stop #445.",I-90,399,,,,,,,yes,,
Blue Beacon Truck Wash of Sioux Falls,truck-washes,5307 N Cliff Ave,Sioux Falls,SD,57104,605-335-0934,https://bluebeacon.com/locations/listing/sioux-falls,"24-hour Blue Beacon truck/trailer wash at I-90 Exit 399 (Cliff Ave) in Sioux Falls, adjacent to Love's; truck, trailer, reefer washout and RV washing.",I-90,399,,,,,,,,,
Graham Tire - Sioux Falls North,tire-repair,4511 N Cliff Ave,Sioux Falls,SD,57104,605-339-3216,https://www.grahamtire.com/,"Commercial/OTR and medium truck tire dealer on N Cliff Ave near I-90 Exit 399 in Sioux Falls, with medium commercial tires, retreads, ag and OTR tires.",I-90,399,,,,,,yes,,,
Pomp's Tire Service - Sioux Falls,tire-repair,2000 E 39th St N,Sioux Falls,SD,57104,605-357-9720,https://locations.pompstire.com/sd/sioux-falls/2000-e-39th-street-n,"Commercial, farm and OTR truck tire dealer in north Sioux Falls near I-90, offering 24-hour commercial roadside tire assistance.",I-90,399,,,,,,yes,,,
Flying J Travel Center #716,truck-stops,5201 N Granite Ln,Sioux Falls,SD,57107,605-977-1438,https://pilotflyingj.com/stores/716,"24-hour Flying J at I-29 Exit 83, immediately north of the I-90/I-29 junction in Sioux Falls, with diesel, truck parking, showers, food, laundry, Wi-Fi, a secured lot and a CAT Scale.",I-90,I-29 Exit 83,yes,yes,yes,yes,yes,,yes,yes,yes
CAT Scale at Flying J Sioux Falls,cat-scales,5201 N Granite Ln,Sioux Falls,SD,57107,605-977-1438,https://catscale.com/cat-scale-locator/,"Certified CAT Scale at Flying J #716, I-29 Exit 83, just north of the I-90/I-29 junction in Sioux Falls.",I-90,I-29 Exit 83,,,,,,,yes,,
Jim & Ron's Service,roadside-service,3424 W Runge Pl,Sioux Falls,SD,57107,605-269-4505,https://www.jimandrons.net/,"24/7 light/medium/heavy-duty towing, recovery and truck repair near the I-90/I-29 junction in Sioux Falls.",I-90,I-29 Exit 83,,,,,,yes,,,
Southeast Technical College - CDL Training,cdl-schools,2320 N Career Ave,Sioux Falls,SD,57107,,https://www.southeasttech.edu/programs/corporate-education/cdl/index.php,"FMCSA/ELDT-registered Class A and Class B CDL training program in Sioux Falls, serving the I-90/I-29 corridor.",I-90,,,,,,,,,,
Coffee Cup Fuel Stop - Brandon,truck-stops,1009 N Splitrock Blvd,Brandon,SD,57005,605-582-7229,https://www.coffeecupfuelstops.com/brandon,"24/7 Coffee Cup fuel stop at I-90 Exit 406 (SD-11) in Brandon with diesel satellite pumps, bulk DEF, overnight truck parking, showers, a deli/food, convenience store and a certified scale.",I-90,406,yes,yes,yes,,yes,,,,
Valley Springs Welcome Center / Rest Area,parking,,Valley Springs,SD,57068,,https://dot.sd.gov/,"SDDOT welcome center and rest area on I-90 near mile marker 412 (westbound) just inside SD near the Minnesota line by Valley Springs (Exit 410), with truck/trailer parking, 24-hour restrooms, RV dump and a dog area (SD 4-hour limit, no overnight parking).",I-90,410,,,,,yes,,,,
Valley Springs Port of Entry,weigh-stations,,Valley Springs,SD,57068,,https://sdtruckinfo.sd.gov/,"SDDOT / SD Highway Patrol port of entry and commercial vehicle inspection station on I-90 near the Minnesota state line at Valley Springs (Exit 410), co-located with the welcome center; e-screening sensors select trucks for inspection.",I-90,410,,,,,,,,,
