name,category,city,state,slug_preview,slug_collision,completeness,label,geocoding,duplicate_hits,verdict,reason,missing_fields
Pilot Travel Center (Roland),truck-stops,Roland,OK,pilot-travel-center-roland-roland-ok,,60,Needs work,needs-geocoding,,import-unpublished,completeness 60 — enrich before publishing,ZIP; Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Sallisaw Travel Center,truck-stops,Sallisaw,OK,sallisaw-travel-center-sallisaw-ok,,57,Needs work,needs-geocoding,,import-unpublished,completeness 57 — enrich before publishing,Verified coordinates; Phone; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Love's Travel Stop #255,truck-stops,Webbers Falls,OK,love-s-travel-stop-255-webbers-falls-ok,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Flying J Travel Center #702,truck-stops,Checotah,OK,flying-j-travel-center-702-checotah-ok,,60,Needs work,needs-geocoding,,import-unpublished,completeness 60 — enrich before publishing,ZIP; Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Kwik-N-EZ Auto/Truck Travel Plaza,truck-stops,Checotah,OK,kwik-n-ez-auto-truck-travel-plaza-checotah-ok,,53,Needs work,needs-geocoding,,import-unpublished,completeness 53 — enrich before publishing,ZIP; Verified coordinates; Phone; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
R & R Truck Stop,truck-stops,Henryetta,OK,r-r-truck-stop-henryetta-ok,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Love's Travel Stop #274,truck-stops,Okemah,OK,love-s-travel-stop-274-okemah-ok,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
FireLake Grand Travel Plaza,truck-stops,Shawnee,OK,firelake-grand-travel-plaza-shawnee-ok,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
I-40 Webbers Falls Weigh Station,weigh-stations,Webbers Falls,OK,i-40-webbers-falls-weigh-station-webbers-falls-ok,,47,Needs work,needs-geocoding,,import-unpublished,"completeness 47, no address — enrich before publishing",Street address; ZIP; Exit number; Verified coordinates; Verified date; Approved reviews
Love's Travel Stop #737,truck-stops,El Reno,OK,love-s-travel-stop-737-el-reno-ok,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
TA Oklahoma City West #059,truck-stops,Oklahoma City,OK,ta-oklahoma-city-west-059-oklahoma-city-ok,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Love's Travel Stop (Morgan Road),truck-stops,Oklahoma City,OK,love-s-travel-stop-morgan-road-oklahoma-city-ok,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Flying J Travel Center #703,truck-stops,Oklahoma City,OK,flying-j-travel-center-703-oklahoma-city-ok,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Petro Oklahoma City #316,truck-stops,Oklahoma City,OK,petro-oklahoma-city-316-oklahoma-city-ok,,65,Good,needs-geocoding,,ready-to-publish,completeness 65 with address,Exit number; Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
CAT Scale at TA Oklahoma City West,cat-scales,Oklahoma City,OK,cat-scale-at-ta-oklahoma-city-west-oklahoma-city-ok,,69,Good,needs-geocoding,,ready-to-publish,completeness 69 with address,Verified coordinates; Phone; Verified date; Approved reviews
Goodyear Commercial Tire & Service Center #255 - OKC,tire-repair,Oklahoma City,OK,goodyear-commercial-tire-service-center-255-okc-oklahoma-city-ok,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
Oklahoma I-40 Weigh Station (El Reno),weigh-stations,El Reno,OK,oklahoma-i-40-weigh-station-el-reno-el-reno-ok,,53,Needs work,needs-geocoding,,import-unpublished,"completeness 53, no address — enrich before publishing",Street address; Exit number; Verified coordinates; Verified date; Approved reviews
Love's Travel Stop #248,truck-stops,Clinton,OK,love-s-travel-stop-248-clinton-ok,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Love's Travel Stop #201,truck-stops,Elk City,OK,love-s-travel-stop-201-elk-city-ok,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Love's Travel Stop #253,truck-stops,Erick,OK,love-s-travel-stop-253-erick-ok,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
TA Travel Center Sayre,truck-stops,Sayre,OK,ta-travel-center-sayre-sayre-ok,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Flying J Travel Center #705,truck-stops,Sayre,OK,flying-j-travel-center-705-sayre-ok,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Fast Lane Travel Plaza,truck-stops,Weatherford,OK,fast-lane-travel-plaza-weatherford-ok,,58,Needs work,needs-geocoding,,import-unpublished,completeness 58 — enrich before publishing,Exit number; Verified coordinates; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Asap's Travel Plaza,truck-stops,Weatherford,OK,asap-s-travel-plaza-weatherford-ok,,45,Needs work,needs-geocoding,,import-unpublished,"completeness 45, no address — enrich before publishing",Street address; ZIP; Verified coordinates; Phone; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
CAT Scale at Flying J Sayre,cat-scales,Sayre,OK,cat-scale-at-flying-j-sayre-sayre-ok,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
Erick Port of Entry / Weigh Station,weigh-stations,Erick,OK,erick-port-of-entry-weigh-station-erick-ok,,65,Good,needs-geocoding,,ready-to-publish,completeness 65 with address,Exit number; Verified coordinates; Verified date; Approved reviews
