name,category,address,city,state,zip,phone,website,description,interstate,exitnumber,showers,food,fuel,laundry,restrooms,repair,catscale,wifi,security
Penn Jersey Diesel & Trailer (Bensalem Travel Plaza),truck-stops,2950 State Rd,Bensalem,PA,19020,215-757-0574,https://pennjerseydt.com,"The segment's only full-service truck stop, less than a mile from I-95 Exit 37 (Street Rd). Offers 24/7 diesel with DEF (on-road and off-road), a CAT scale, convenience store/deli, showers, laundry, truck wash, tire repair and truck/trailer parking.",I-95,37,yes,yes,yes,yes,yes,yes,yes,yes,yes
CAT Scale at Penn Jersey Diesel Bensalem,cat-scales,2950 State Rd,Bensalem,PA,19020,215-639-2467,https://catscale.com/cat-scale-locator/,CAT Scale #1316 located at the Penn Jersey Diesel & Trailer / Bensalem Travel Plaza fuel island off I-95 Exit 37. Certified truck weigh scale available to the public.,I-95,37,,,,,,,yes,,
Philadelphia I-95 Truck & Trailer Park,parking,2950 State Rd,Bensalem,PA,19020,215-245-1008,https://phillytruckpark.com,"Secure, gated and guarded 24/7 truck/trailer parking lot less than a mile from I-95 Exit 37, with 40+ short-term spaces, security cameras, and an adjacent diesel/DEF fuel island and CAT scale.",I-95,37,,,yes,,,,yes,,yes
McCarthy Tire Service - Philadelphia,tire-repair,9150 State Rd,Philadelphia,PA,19136,267-665-0000,https://mccarthytire.com,"Commercial fleet tire dealer and service center on State Rd in Northeast Philadelphia near I-95, servicing trucks, buses, RVs and trailers with Bridgestone/Firestone commercial tires.",I-95,32,,,,,,yes,,,
McCarthy Tire Service - Levittown,tire-repair,1901 Hartel Ave,Levittown,PA,19057,267-522-8046,https://mccarthytire.com,"Large 40,000 sq ft commercial tire facility about two miles from I-95 and the PA Turnpike, handling tire sales and service for commercial trucks, buses, industrial and off-the-road equipment, plus fleet service.",I-95,44,,,,,,yes,,,
PA Truck Center,tire-repair,,Philadelphia,PA,,,https://www.patruckcenter.com,"Truck and trailer service and repair shop in Northeast Philadelphia, about one mile from I-95 Exit 32, handling routine maintenance through major truck repairs.",I-95,32,,,,,,yes,,,
Burns Auto Group - Truck Repair,tire-repair,194 Lincoln Hwy,Fairless Hills,PA,19030,215-757-8886,https://www.burnsautogroup.com,"Diesel and fleet truck repair shop on US-1 (Lincoln Hwy) in Fairless Hills near I-95, offering diesel engine, brake/axle and transmission service with ASE-certified technicians and fleet accounts.",I-95,46,,,,,,yes,,,
Rob's Automotive & Collision Center,roadside-service,2700 Veterans Hwy,Bristol,PA,19007,215-826-9200,https://robsautoandcollision.com,"24/7 heavy-duty truck towing, recovery and repair on PA-413 (Veterans Hwy) in Bristol near I-95 Exit 40; a preferred towing provider for the Pennsylvania State Police and PA Turnpike, also handling trailer service and commercial hauling.",I-95,40,,,,,,yes,,,
Quala Tank Wash (Bensalem),truck-washes,1000 Imperial Court,Bensalem,PA,19020,267-385-8173,https://www.quala.us.com,"Commercial tank truck cleaning/wash facility in Bensalem near I-95 Exit 37, providing interior tank and trailer cleaning services for commercial carriers.",I-95,37,,,,,,,,,
Gladiator Trucker Academy,cdl-schools,"1212 Veterans Hwy, Suite A6",Bristol,PA,19007,888-777-1545,https://gtallc.org,"Pennsylvania Department of Education-licensed CDL training provider on Veterans Hwy (PA-413) in Bristol near I-95 Exit 40, offering a 160-hour ELDT program with CDL attainable in about four weeks.",I-95,40,,,,,,,,,
SSS CDL Driving Academy,cdl-schools,,Bensalem,PA,19020,,,"CDL driving academy in Bensalem near the I-95 corridor offering full Class A and Class B training plus Passenger, Tanker and HazMat endorsements.",I-95,37,,,,,,,,,
