Business Name,Category,Address,City,State,ZIP,Latitude,Longitude,Phone,Website,Description,Truck Spaces,Free Parking,Paid Parking,Reserved Parking,Overnight Parking,Showers,Food,Fuel,Laundry,Restrooms,Repair,CAT Scale,WiFi,Security,TruckParkingClub URL,Affiliate Code,Image URL,Interstate,Exit Number,Published,Featured
Days Inn by Wyndham Conover-Hickory,Hotels with Truck Parking,1710 Fairgrove Church Rd,Conover,NC,28613,,,828-465-2378,https://www.wyndhamhotels.com/days-inn/conover-north-carolina/days-inn-conover-hickory/overview,"Budget hotel at I-40 Exit 128 (Fairgrove Church Rd) in Conover. Booking listings (Expedia) note free self parking plus RV, bus and truck parking; also listed as a trucker-usable hotel on Trucker Path.",,yes,,,yes,,,,,yes,,,yes,,,,,I-40,128,yes,no
McGee Commercial Tire & Service - Hickory,Tire Repair,299 S Center St,Hickory,NC,28602,,,,https://www.mcgeetirecommercial.com/Locations-Services/24-Hour-Road-Service-Hickory-NC,"HELD: McGee advertises a Hickory commercial tire location with 24/7/365 road service, but its own site shows two S Center St addresses (227 retail auto vs 299 commercial) and no independently verified phone. Needs address/phone confirmation before publishing.",,,,,,,,,,,yes,,,,,,,I-40,,no,no
McCabe's Tire & Service,Tire Repair,303 Burkemont Ave,Morganton,NC,28655,,,828-608-0840,https://www.mccabetireandservice.com/,"HELD: Goodyear/Cooper dealer near I-40 Exit 103 (US-64/Burkemont Ave) that sells commercial tires, but directory sources conflict on address (303 vs 1211 Burkemont Ave) and it is primarily an auto shop; extent of heavy-truck tire service unconfirmed.",,,,,,,,,,,yes,,,,,,,I-40,103,no,no
I-40 Diesel & Auto,Roadside Service,201 Reep Dr,Morganton,NC,28655,,,,,"HELD: Diesel and auto repair shop in Morganton; only a single directory/review source found (Birdeye), no phone or truck-service scope verified.",,,,,,,,,,,yes,,,,,,,I-40,,no,no
"Truck Parking Club - 325 U.S. Hwy 70 SW, Hickory",Truck Parking,325 U.S. Hwy 70 SW,Hickory,NC,28602,,,,https://truckparkingclub.com/truck-parking/north-carolina/hickory/325-u-s--hwy-70-sw-28602,HELD: Bookable paved truck/trailer parking property with 24/7 access listed about 2 miles from I-40 Exit 123 per Truck Parking Club. Single-source (TPC) listing; space count and pricing not independently verified.,,,yes,yes,yes,,,,,,,,,,https://truckparkingclub.com/truck-parking/north-carolina/hickory/325-u-s--hwy-70-sw-28602,,,I-40,123,no,no
"Truck Parking Club - 1960 US Highway 70 SE, Hickory",Truck Parking,1960 US Highway 70 SE,Hickory,NC,28602,,,,https://truckparkingclub.com/truck-parking/north-carolina/hickory/1960-us-highway-70-southeast-28602,HELD: Bookable truck and trailer parking property on US-70 SE in Hickory listed by Truck Parking Club. Single-source listing; amenities and space count not independently verified.,,,yes,yes,yes,,,,,,,,,,https://truckparkingclub.com/truck-parking/north-carolina/hickory/1960-us-highway-70-southeast-28602,,,I-40,,no,no
"Truck Parking Club - 8814 Dietz Ave, Hickory",Truck Parking,8814 Dietz Ave,Hickory,NC,28602,,,,https://truckparkingclub.com/truck-parking/north-carolina/hickory/8814-dietz-ave-28602,HELD: Bookable truck and trailer parking property listed by Truck Parking Club under Hickory 28602. Single-source listing; exact location relative to I-40 exits and amenities not independently verified.,,,yes,yes,yes,,,,,,,,,,https://truckparkingclub.com/truck-parking/north-carolina/hickory/8814-dietz-ave-28602,,,I-40,,no,no
Studio 6 Hickory,Hotels with Truck Parking,484 U.S. Highway 70 SW,Hickory,NC,,,,,,"HELD: HotelGuides lists this property as offering truck parking, but no second source confirming truck parking or full address/phone details was found.",,,,,yes,,,,,yes,,,,,,,,I-40,,no,no
Fast Track (Hildebran),Truck Stops,400 S Center St,Hildebran,NC,,,,,,"HELD: Fuel stop about 0.1 mile from I-40 Exit 119 (Hildebran) per Roadnow, but no second source and no confirmation of diesel lanes or truck parking suitable for combination vehicles.",,,,,,,,yes,,yes,,,,,,,,I-40,119,no,no
Pilot Travel Center #1063,Truck Stops,3365 Sugar Hill Rd,Marion,NC,28752,,,828-738-3146,https://locations.pilotflyingj.com/us/nc/marion/3365-sugar-hill-rd,"24-hour Pilot Travel Center at I-40 Exit 81 (Sugar Hill Rd), Marion. 6 diesel fuel lanes with DEF, 40 truck parking spots (9 reserved/paid), 4 showers, public laundry, CAT scale, Subway and Mama DeLuca's Pizza, ATM and convenience store.",40,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,,,,,I-40,81,yes,no
Love's Travel Stop #308,Truck Stops,3308 Hwy 226 S,Marion,NC,28752,,,828-652-3422,https://www.loves.com/locations/308,"24-hour Love's Travel Stop at I-40 Exit 86 (NC 226), Marion. 48 truck parking spaces, 5 showers, diesel with 6 DEF lanes, CAT scale, Subway and Godfather's Pizza, convenience store, ATM and basic Wi-Fi.",48,yes,,,yes,yes,yes,yes,,yes,,yes,yes,,,,,I-40,86,yes,no
Nebo Truck Stop,Truck Stops,31 Lawing Dr,Nebo,NC,28761,,,828-652-6110,,"Small independent truck stop at I-40 Exit 90 (Nebo/Lake James). Diesel (2 lanes), about 15 truck parking spaces with overnight parking, showers, laundry, trucker lounge, convenience store and adjacent restaurant; also a U-Haul rental point. Reviews confirm it active through 2025-2026.",15,yes,,,yes,yes,yes,yes,yes,yes,,,,,,,,I-40,90,yes,no
CAT Scale at Pilot Travel Center #1063,CAT Scales,3365 Sugar Hill Rd,Marion,NC,28752,,,828-738-3146,https://catscale.com/cat-scale-locator/,"Certified CAT scale located at the Pilot Travel Center, I-40 Exit 81 (Sugar Hill Rd), Marion. Open 24 hours with the travel center.",,,,,,,,yes,,yes,,yes,,,,,,I-40,81,yes,no
