name,category,address,city,state,zip,phone,website,description,interstate,exitnumber,showers,food,fuel,laundry,restrooms,repair,catscale,wifi,security
TA Vero Beach #197,truck-stops,8909 20th St,Vero Beach,FL,32966,772-562-1791,https://www.ta-petro.com/location/fl/ta-vero-beach/,"Full-service TA at I-95 Exit 147 (SR-60) with 24-hour diesel, a restaurant, about 162 truck spaces, 6 service bays (tires/repair) and a CAT scale.",I-95,147,yes,yes,yes,yes,yes,yes,yes,yes,
Gators Truck Stop,truck-stops,8201 20th St,Vero Beach,FL,32966,,,"Independent truck stop near I-95 Exit 147 (SR-60) with diesel, a store, showers and truck parking.",I-95,147,yes,,yes,,yes,,,,
Sunoco Truck Stop - Palm Bay,truck-stops,1180 Malabar Rd SE,Palm Bay,FL,,,,"Independent Sunoco fuel/truck stop near I-95 Exit 173 (Malabar Rd) with diesel, a store and limited truck parking.",I-95,173,,yes,yes,,yes,,,,
Pilot / ONE9 Travel Center #88,truck-stops,4455 W King St,Cocoa,FL,32926,321-639-0346,https://locations.pilotflyingj.com/us/fl/cocoa/4455-w-king-st,"Pilot/ONE9 at I-95 Exit 201 (SR-520) serving Cocoa/Titusville with 24-hour diesel, Subway, showers and Wi-Fi.",I-95,201,yes,yes,yes,,yes,,,yes,
Love's Travel Stop #316,truck-stops,1657 N US Highway 1,Ormond Beach,FL,32174,386-671-9585,https://www.loves.com/locations/316,"24-hour Love's at I-95 Exit 273 (US-1) serving the Daytona/Ormond area with diesel, Arby's, about 78 truck spaces, a CAT scale and Love's Truck Care (tire/light repair).",I-95,273,yes,yes,yes,,yes,yes,yes,yes,
Flying J Travel Center #626,truck-stops,950 FL-206 W,Saint Augustine,FL,32086,,https://locations.pilotflyingj.com/us/fl/saint-augustine/950-fl-206-w,"24-hour Flying J at I-95 Exit 305 (SR-206) with diesel, food, showers, laundry, a game room and a CAT scale.",I-95,305,yes,yes,yes,yes,yes,,yes,yes,
Love's Travel Stop #894,truck-stops,1025 SR 206 W,Saint Augustine,FL,32086,904-417-9010,https://www.loves.com/locations/894,"Love's opened 2024 at I-95 Exit 305 (SR-206) with 24-hour diesel, about 64 truck spaces, showers, laundry, Speedco/truck-tire care and a CAT scale.",I-95,305,yes,yes,yes,yes,yes,yes,yes,yes,
Pilot Travel Center #91,truck-stops,1625 County Road 210 W,Saint Johns,FL,32259,904-826-3618,https://locations.pilotflyingj.com/us/fl/jacksonville/1625-county-road-210-west,"24-hour Pilot at I-95 Exit 329 (CR-210) in south Jacksonville/St. Johns with diesel, McDonald's and showers, adjacent to the TA.",I-95,329,yes,yes,yes,,yes,,,yes,
TA Jacksonville South #248,truck-stops,1650 County Road 210 W,Saint Johns,FL,32259,904-829-3946,https://www.ta-petro.com/location/fl/ta-jacksonville-south/,"Full-service TA at I-95 Exit 329 (CR-210) with 24-hour diesel, about 87 truck spaces, a restaurant, TA Truck Service (tires/brakes/repair) and a CAT scale.",I-95,329,yes,yes,yes,yes,yes,yes,yes,yes,
Love's Travel Stop #603,truck-stops,400 Pecan Park Rd,Jacksonville,FL,32218,904-696-1463,https://www.loves.com/locations/603,"24-hour Love's at I-95 Exit 366 (Pecan Park Rd) near Jacksonville International Airport with diesel, Chester's/Subway, 82 truck spaces, a CAT scale and Love's Truck Care.",I-95,366,yes,yes,yes,,yes,yes,yes,yes,
