slug,editorial_name,category,product_type,asin,verified_title,price_usd,rating,review_count,image_path
dual-dash-cam,Front & Interior Dual Dash Cam,electronics,dash-cam,,,,,,
budget-dual-dash-cam,Entry-Level Front & Cab Dash Cam,electronics,dash-cam,,,,,,
4k-front-dash-cam,4K Ultra-Detail Front Dash Cam,electronics,dash-cam,,,,,,
three-channel-dash-cam,"Three-Channel Front, Cab & Rear Dash Cam",electronics,dash-cam,,,,,,
exterior-fleet-dash-cam,Waterproof Exterior Blind-Spot Camera,electronics,dash-cam,,,,,,
wifi-gps-dash-cam,WiFi & GPS Connected Dash Cam,electronics,dash-cam,,,,,,
parking-mode-dash-cam,Parking-Mode Surveillance Dash Cam,electronics,dash-cam,,,,,,
over-ear-trucker-headset,Over-Ear All-Day Trucker Headset,electronics,bluetooth-headset,,,,,,
single-ear-boom-headset,Single-Ear Boom Mic Headset,electronics,bluetooth-headset,,,,,,
noise-canceling-headset,Noise-Canceling Dispatch Headset,electronics,bluetooth-headset,,,,,,
long-battery-headset,Multi-Day Battery Trucker Headset,electronics,bluetooth-headset,,,,,,
dual-connect-headset,Dual-Phone Connect Headset,electronics,bluetooth-headset,,,,,,
budget-bluetooth-headset,Dependable Budget Bluetooth Headset,electronics,bluetooth-headset,,,,,,
convertible-headset,Convertible Mono/Stereo Headset,electronics,bluetooth-headset,,,,,,
truck-gps-navigator,Truck-Legal Route Navigator,electronics,gps,,,,,,
large-screen-truck-gps,Large-Screen Truck Navigator,electronics,gps,,,,,,
gps-with-dashcam,Navigator With Built-In Dash Cam,electronics,gps,,,,,,
hazmat-truck-gps,Hazmat-Aware Route Navigator,electronics,gps,,,,,,
gps-with-live-traffic,Live Traffic And Weather Navigator,electronics,gps,,,,,,
budget-truck-gps,Entry-Level Truck Navigator,electronics,gps,,,,,,
fleet-truck-gps,Heavy-Duty Fleet Navigator,electronics,gps,,,,,,
full-size-cb-radio,Full-Size Dash-Mount CB Radio,electronics,cb-radio,,,,,,
compact-cb-radio,Compact Space-Saving CB Radio,electronics,cb-radio,,,,,,
cb-radio-with-weather,CB Radio With NOAA Weather,electronics,cb-radio,,,,,,
bluetooth-cb-radio,Wireless Handset CB Radio,electronics,cb-radio,,,,,,
