name,category,city,state,slug_preview,slug_collision,completeness,label,geocoding,duplicate_hits,verdict,reason,missing_fields
Russell's Truck & Travel Center,truck-stops,Glenrio,NM,russell-s-truck-travel-center-glenrio-nm,,63,Needs work,needs-geocoding,,import-unpublished,"completeness 63, no address — enrich before publishing",Street address; Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
San Jon Port of Entry / Weigh Station,weigh-stations,San Jon,NM,san-jon-port-of-entry-weigh-station-san-jon-nm,,47,Needs work,needs-geocoding,,import-unpublished,"completeness 47, no address — enrich before publishing",Street address; ZIP; Exit number; Verified coordinates; Verified date; Approved reviews
Love's Travel Stop #262,truck-stops,Tucumcari,NM,love-s-travel-stop-262-tucumcari-nm,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
TA Santa Rosa,truck-stops,Santa Rosa,NM,ta-santa-rosa-santa-rosa-nm,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Love's Travel Stop #285,truck-stops,Santa Rosa,NM,love-s-travel-stop-285-santa-rosa-nm,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Clines Corners Travel Center,truck-stops,Clines Corners,NM,clines-corners-travel-center-clines-corners-nm,,59,Needs work,needs-geocoding,,import-unpublished,"completeness 59, no address — enrich before publishing",Street address; ZIP; Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Pilot Travel Center #475,truck-stops,Moriarty,NM,pilot-travel-center-475-moriarty-nm,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
TA Moriarty,truck-stops,Moriarty,NM,ta-moriarty-moriarty-nm,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
TA Albuquerque (TravelCenters of America),truck-stops,Albuquerque,NM,ta-albuquerque-travelcenters-of-america-albuquerque-nm,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Love's Travel Stop #614,truck-stops,Albuquerque,NM,love-s-travel-stop-614-albuquerque-nm,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
