name,category,address,city,state,zip,phone,website,description,interstate,exitnumber,showers,food,fuel,laundry,restrooms,repair,catscale,wifi,security
Love's Travel Stop #595,truck-stops,9240 County Farm Rd,Gulfport,MS,39503,228-832-0199,https://www.loves.com/,"Full-service Love's travel center off I-10 at County Farm Road with truck parking, showers, CAT scale, a tire care center, and McDonald's and Chester's Chicken.",I-10,28,yes,yes,yes,yes,yes,yes,yes,yes,
Flying J Travel Center #676,truck-stops,9351 Canal Rd,Gulfport,MS,39503,228-868-2711,https://locations.pilotflyingj.com/,"24-hour Pilot Flying J truck stop off I-10 at Canal Road with 12 diesel lanes, 165 truck parking spaces, 15 showers, and a CAT scale.",I-10,31,yes,yes,yes,yes,yes,,yes,yes,
CAT Scale at Flying J #676 - Gulfport,cat-scales,9351 Canal Rd,Gulfport,MS,39503,228-868-2711,https://catscale.com/,Certified CAT truck scale located at the Flying J travel center off I-10 Exit 31.,I-10,31,,,yes,,yes,,yes,,
CAT Scale at Love's #595 - Gulfport,cat-scales,9240 County Farm Rd,Gulfport,MS,39503,228-832-0199,https://catscale.com/,Certified CAT truck scale located at the Love's travel stop off I-10 at County Farm Road.,I-10,28,,,yes,,yes,,yes,,
Truckworx Kenworth - Gulfport,roadside-service,14370 Seaway Rd,Gulfport,MS,39503,228-206-7280,https://truckworx.com/,"Full-service heavy-duty commercial truck dealership off I-10 Exit 34A offering service, parts, 24-hour on-call and mobile repair, and a truck wash.",I-10,34A,,,,,,yes,,,
Moss Towing & Road Service,roadside-service,,Bay St. Louis,MS,,228-467-5227,https://mosstowingms.com/,24-hour mobile heavy-duty truck and trailer repair and recovery service covering the I-10 corridor from Bay St. Louis through Gulfport.,I-10,,,,,,,yes,,,
Pilot Travel Center #586,truck-stops,6705 MS-63,Moss Point,MS,39563,228-474-6511,https://locations.pilotflyingj.com/,"Full-service Pilot travel center at I-10 Exit 69 (MS-63) with diesel lanes, truck parking, showers, and an on-site CAT scale.",I-10,69,yes,yes,yes,yes,yes,,yes,yes,
Chevron - Moss Point (I-10 Exit 69),truck-stops,6718 MS-63,Moss Point,MS,,228-474-0004,,"Chevron fuel stop at I-10 Exit 69 offering diesel fueling, a convenience store, and truck parking near the Pilot.",I-10,69,,,yes,,yes,,,,
Circle K (formerly Kangaroo) - Ocean Springs,truck-stops,7600 Tucker Rd,Ocean Springs,MS,39564,228-875-0284,https://www.circlek.com/,"Circle K travel stop at I-10 Exit 50 (MS-609) with diesel lanes, truck parking, showers, and a food offering, formerly branded Kangaroo.",I-10,50,yes,yes,yes,,yes,,,yes,
Best Truck Parking - Gautier,parking,3601 US-90,Gautier,MS,39553,,https://besttruckparking.com/,"Gated, fenced, and camera-monitored 24/7 commercial truck and trailer parking lot located off US-90 about four miles south of I-10 Exit 61.",I-10,61,,,,,,,,,yes
DB Roadside & Tire Service LLC,roadside-service,4020 Popps Ferry Rd,D'Iberville,MS,39540,228-274-4480,https://dbroadsideandtireservicellc.com/,"24/7 mobile heavy-duty truck repair, tire service, and roadside assistance covering the I-10 Gulf Coast corridor from a D'Iberville base.",I-10,,,,,,,yes,,,
"Pascagoula Tire & Service, Inc.",tire-repair,3135 Market St,Pascagoula,MS,39567,,https://www.pascagoulatire.com/,Established Pascagoula tire and service shop that handles truck tires and repair for the surrounding I-10 corridor.,I-10,,,,,,,yes,,,
