name,category,address,city,state,zip,phone,website,description,interstate,exitnumber,showers,food,fuel,laundry,restrooms,repair,catscale,wifi,security
Minnesota Welcome Center & Rest Area (Beaver Creek),parking,,Beaver Creek,MN,56116,,https://www.exploreminnesota.com/welcomecenters,"24-hour MnDOT welcome/travel information center and rest area on eastbound I-90 at the South Dakota state line near Beaver Creek (Exit 1), with restrooms, vending, tourist info and auto/truck parking.",I-90,1,,,,,yes,,,,
Adrian Rest Area,parking,,Adrian,MN,,,https://www.dot.state.mn.us/restareas/i90.html,"MnDOT safety rest area on I-90 near Adrian (westbound MM 25 / eastbound MM 24) between Luverne and Worthington, with restrooms and auto/truck parking.",I-90,,,,,,yes,,,,
Casey's General Store - Luverne,truck-stops,,Luverne,MN,56156,,https://www.caseys.com,"Casey's fuel and convenience store at I-90 Exit 12 (US-75) in Luverne with diesel, a deli/pizza, restrooms and limited truck parking.",I-90,12,,yes,yes,,yes,,,,
Casey's #3263 - Worthington,truck-stops,,Worthington,MN,56187,,https://www.caseys.com,"Casey's at I-90 Exit 43 (US-59) in Worthington with 24-hour diesel, a convenience store/deli, Wi-Fi and limited truck parking.",I-90,43,,yes,yes,,yes,,,yes,
Worthington Travel Plaza,truck-stops,2411 Highway 60 NE,Worthington,MN,56187,507-376-4848,,"Full-service travel center at I-90 Exit 45 (Hwy 60) in Worthington with 24-hour diesel, showers, laundry, a restaurant/deli, CAT Scale, tires, DOT inspections and a truck/trailer wash.",I-90,45,yes,yes,yes,yes,yes,yes,yes,,
CAT Scale at Worthington Travel Plaza,cat-scales,2411 Highway 60 NE,Worthington,MN,56187,507-376-4848,https://catscale.com/cat-scale-locator/,Certified CAT Scale at the Worthington Travel Plaza at I-90 and Hwy 60 (Exit 45) in Worthington; open to trucks 24/7.,I-90,45,,,,,,,yes,,
Blue Line Travel Center,truck-stops,24425 Highway 60,Worthington,MN,56187,507-372-4038,,"Independent travel center at I-90 Exit 45 in Worthington with 24-hour diesel, a 24-hour restaurant, showers, laundry, scales, tires and a truck/trailer wash.",I-90,45,yes,yes,yes,yes,yes,yes,,,
Worthington Weigh Station,weigh-stations,,Worthington,MN,,,https://www.dot.state.mn.us/cvo/weigh-stations.html,"MnDOT / MN State Patrol commercial-vehicle weigh scale on I-90 about a half-mile east of Worthington, operated by State Patrol Commercial Vehicle Enforcement.",I-90,,,,,,,,,,
Vet's Whoa N Go,truck-stops,2001 US-71 N,Jackson,MN,56143,507-847-3621,,"Truck stop at I-90 Exit 73 (US-71) in Jackson with 24-hour diesel, showers, a restaurant/deli, tires, towing and mechanic/mobile repair.",I-90,73,yes,yes,yes,,yes,yes,,,
Casey's General Store - Sherburn,truck-stops,502 N Main St,Sherburn,MN,56171,,https://www.caseys.com,"Casey's with diesel at I-90 Exit 87 (MN-4) in Sherburn with a convenience store, deli/pizza and restrooms.",I-90,87,,yes,yes,,yes,,,,
Kwik Trip #424 - Fairmont,truck-stops,217 S State St,Fairmont,MN,56031,,https://www.kwiktrip.com,"Kwik Trip at I-90 Exit 102 (MN-15) in Fairmont with 24-hour diesel, food and limited truck parking.",I-90,102,,yes,yes,,yes,,,,
Kwik Trip #646 - Blue Earth,truck-stops,209 S Grove St,Blue Earth,MN,56013,507-526-4666,https://www.kwiktrip.com,"Kwik Trip at I-90 Exit 119 (US-169) in Blue Earth with 24-hour diesel, a convenience store and limited truck parking.",I-90,119,,yes,yes,,yes,,,,
