contact_order,rank,business_name,category,state,corridor,directory_url,recommended_paid_offer,billing_recommendation,commercial_reason,opening_sentence,attribution_link,contact_status,first_contact_channel,listing_id
1,1,Diesel Truck Repairs,roadside-service,AR,I-40,/directory/location/diesel-truck-repairs-brinkley-ar,featured-listing,monthly,"Roadside repair on I-40 between Little Rock and Memphis. A driver looking for this is stationary and buying now — one job pays for months of placement, so the payback threshold is a single customer.","You're the roadside repair listing on our I-40 page at Exit 216 in Brinkley — I built it from public information, so I'd rather you checked it than have me guess.",/sponsors?interest=listing-claim&listing=diesel-truck-repairs-brinkley-ar&lcat=roadside-service&lstate=AR&lcorr=i40&from=p01-roadside-service#inquire,available on listing,phone (number is on the listing),e945424b-b704-4e3e-9eaa-0ed1ba82fb98
2,2,Impact Truck and Trailer,roadside-service,TN,I-40,/directory/location/impact-truck-and-trailer-cookeville-tn,featured-listing,monthly,"I-40 Exit 287 roadside, one exit from another listing of ours. Breakdown demand on our second-deepest corridor (240 published listings, 68 of them service businesses).","You're on our I-40 roadside page at Exit 287, one exit from Thompson Truck Group, and I'd like your details right before I talk to anyone about placement.",/sponsors?interest=listing-claim&listing=impact-truck-and-trailer-cookeville-tn&lcat=roadside-service&lstate=TN&lcorr=i40&from=p02-roadside-service#inquire,available on listing,website contact form (site is on the listing),910b954b-022b-4076-90dd-ef5e144fa3ef
3,3,"Thompson Truck Group - Cookeville (International dealer, former Landmark International)",roadside-service,TN,I-40,/directory/location/thompson-truck-group-cookeville-international-dealer-former-landmark-international-cookeville-tn,featured-listing,monthly,An International dealer service point at I-40 Exit 288. Larger service capacity than a one-truck operator and a real local marketing budget — but confirm on the call that Cookeville can buy its own placement rather than group marketing.,"Your Cookeville dealership is on our I-40 page at Exit 288, listed under roadside service — tell me if that is the wrong way to describe what you do.",/sponsors?interest=listing-claim&listing=thompson-truck-group-cookeville-international-dealer-former-landmark-international-cookeville-tn&lcat=roadside-service&lstate=TN&lcorr=i40&from=p03-roadside-service#inquire,available on listing,website contact form (site is on the listing),50c54637-cbc4-4afc-95f4-10e946870d06
4,4,Walker Tire (Bill Walker Tire Centers),tire-repair,NC,I-40,/directory/location/walker-tire-bill-walker-tire-centers-asheville-nc,featured-listing,monthly,"I-40 tire at Exit 44, west Asheville — the last commercial tire option we list before the Tennessee grade. Blowout demand, our second-deepest corridor.","You're our I-40 tire listing at Exit 44 in west Asheville, built from public information.",/sponsors?interest=listing-claim&listing=walker-tire-bill-walker-tire-centers-asheville-nc&lcat=tire-repair&lstate=NC&lcorr=i40&from=p04-tire-repair#inquire,available on listing,website contact form (site is on the listing),8bb903e1-31e5-49e4-a4c0-26bfbb21cc7e
5,5,Hamilton Truck and Tire Service,tire-repair,OH,I-75,/directory/location/hamilton-truck-and-tire-service-cincinnati-oh,featured-listing,monthly,"Cincinnati tire on I-75, our deepest corridor by a distance (404 published listings, 97 service businesses). Both a phone and a site on the listing, so outreach can start today.","You're on our I-75 tire page for the Cincinnati stretch — I built the listing from public information, so I'd like you to check it.",/sponsors?interest=listing-claim&listing=hamilton-truck-and-tire-service-cincinnati-oh&lcat=tire-repair&lstate=OH&lcorr=i75&from=p05-tire-repair#inquire,available on listing,phone (number is on the listing),fef1dd1a-90de-48ea-b494-e652fbb84715
6,6,Ziegler Tire,tire-repair,OH,I-75,/directory/location/ziegler-tire-walbridge-oh,featured-listing,monthly,"I-75 tire north of Toledo, near two independent stops we also list. Deepest corridor in the directory and a reachable contact on the record.","You're our I-75 tire listing north of Toledo, near the Hy-Miler and Barney's stops we also list.",/sponsors?interest=listing-claim&listing=ziegler-tire-walbridge-oh&lcat=tire-repair&lstate=OH&lcorr=i75&from=p06-tire-repair#inquire,available on listing,phone (number is on the listing),4be0bff5-6246-43d0-8501-159b1d07cf32
7,7,Snider Fleet Solutions - Florence,tire-repair,SC,I-95,/directory/location/snider-fleet-solutions-florence-florence-sc,corridor-sponsor,annual,Three sites in our data and two of them on I-95 — the only prospect in the queue where a single corridor sponsorship covers more than one location. Treat Florence and Savannah as one sale.,"You've got three locations on our directory — Florence, Savannah and Chattanooga — and two of them sit on the I-95 pages, so I'd rather have one conversation with you than three.",/sponsors?interest=corridor-sponsor&listing=snider-fleet-solutions-florence-florence-sc&lcat=tire-repair&lstate=SC&lcorr=i95&from=p07-tire-repair#inquire,available on listing,phone (number is on the listing),9659739b-ba64-409b-9d90-e350b6c250ca
8,8,All Hooked Up Towing & Recovery,roadside-service,FL,I-95,/directory/location/all-hooked-up-towing-recovery-jupiter-fl,featured-listing,monthly,Towing and recovery at I-95 Exit 87A. The buyer cannot move and picks the first callable listing; a single recovery job is worth many months of placement.,"You're on our I-95 roadside page at Exit 87A in Jupiter, and I'd rather you told me the details than have me guess them.",/sponsors?interest=listing-claim&listing=all-hooked-up-towing-recovery-jupiter-fl&lcat=roadside-service&lstate=FL&lcorr=i95&from=p08-roadside-service#inquire,available on listing,phone (number is on the listing),8f2aedd7-e4a2-40b8-98c0-22c027127390
9,9,Gary Mobile On-Site Truck & Trailer Repair,roadside-service,IN,I-65,/directory/location/gary-mobile-on-site-truck-trailer-repair-gary-in,featured-listing,monthly,"Mobile on-site repair on the Gary stretch of I-65 (162 published listings, 41 service businesses). On-site repair is the definition of buy-now demand.",You're our on-site repair listing for the Gary stretch of I-65 — the one a driver looks for when the truck will not move.,/sponsors?interest=listing-claim&listing=gary-mobile-on-site-truck-trailer-repair-gary-in&lcat=roadside-service&lstate=IN&lcorr=i65&from=p09-roadside-service#inquire,available on listing,phone (number is on the listing),605eb2aa-f167-4118-b720-5e470775c93d
10,10,Snider Fleet Solutions - Savannah,tire-repair,GA,I-95,/directory/location/snider-fleet-solutions-savannah-savannah-ga,corridor-sponsor,annual,The second Snider site on I-95. Same conversation as Florence — do not pitch this one separately or you are selling the same corridor page twice.,"Your Savannah branch is on our I-95 tire pages alongside your Florence one, so this is the same conversation for both.",/sponsors?interest=corridor-sponsor&listing=snider-fleet-solutions-savannah-savannah-ga&lcat=tire-repair&lstate=GA&lcorr=i95&from=p10-tire-repair#inquire,available on listing,phone (number is on the listing),7fd02b6b-eeae-4b06-8b67-50c3e9928fec
