name,category,address,city,state,zip,phone,website,description,interstate,exitnumber,showers,food,fuel,laundry,restrooms,repair,catscale,wifi,security
Thomas Edison Service Area (NJ Turnpike),truck-stops,"New Jersey Turnpike southbound, Milepost 92.9",Woodbridge,NJ,07095,,https://www.njta.gov/service-area/thomas-edison-service-area-southbound/,"Southbound New Jersey Turnpike service area at MM 92.9 in Woodbridge with a Sunoco fuel station (gas and diesel), a food court and truck parking. Rebuilt facility opened in 2019.",I-95,,,yes,yes,,yes,,,yes,
Grover Cleveland Service Area (NJ Turnpike),truck-stops,"New Jersey Turnpike northbound, Milepost 92.9",Woodbridge,NJ,07095,,https://www.njta.gov/service-area/grover-cleveland-service-area-northbound/,"Northbound New Jersey Turnpike service area at MM 92.9 in Woodbridge with a Sunoco fuel station, food court, Tesla EV chargers and truck parking. Rebuilt facility opened in 2015.",I-95,,,yes,yes,,yes,,,yes,
Vince Lombardi Service Area (NJ Turnpike),truck-stops,"New Jersey Turnpike (both directions), Milepost 116",Ridgefield,NJ,07657,201-945-5112,https://www.njta.gov/service-area/vince-lombardi-service-area-both-directions/,"Northernmost New Jersey Turnpike service area at MM 116 in Ridgefield near the GWB approach; a major truck stop with a large Sunoco fuel island, a food court and extensive truck parking. Open 24/7.",I-95,,,yes,yes,,yes,,,yes,
Pilot Express #1098 (Port Newark),truck-stops,400 Doremus Ave,Newark,NJ,07105,973-589-3090,https://locations.pilotflyingj.com/us/nj/newark/400-doremus-ave,"24-hour Pilot truck stop in the Port Newark district off Turnpike Exit 15E, with 9 diesel/DEF lanes, roughly 33 truck parking spaces, showers, a CAT Scale and a convenience store.",I-95,15E,yes,yes,yes,yes,yes,,yes,yes,
CAT Scale at Pilot #1098 (Port Newark),cat-scales,400 Doremus Ave,Newark,NJ,07105,973-589-3090,https://catscale.com/cat-scale-locator/,"Certified CAT Scale located at the Pilot travel center on Doremus Ave in the Port Newark district, off NJ Turnpike Exit 15E. Open 24 hours.",I-95,15E,,,,,,,yes,,
Thomas Edison Service Area Truck Parking,parking,"New Jersey Turnpike southbound, Milepost 92.9",Woodbridge,NJ,07095,,https://www.njta.gov/service-area/thomas-edison-service-area-southbound/,"Dedicated truck parking at the southbound Thomas Edison Turnpike service area, adjacent to the fuel island and food court.",I-95,,,yes,yes,,yes,,,,
Grover Cleveland Service Area Truck Parking,parking,"New Jersey Turnpike northbound, Milepost 92.9",Woodbridge,NJ,07095,,https://www.njta.gov/service-area/grover-cleveland-service-area-northbound/,"Dedicated truck parking at the northbound Grover Cleveland Turnpike service area, next to the Sunoco fuel island and food court.",I-95,,,yes,yes,,yes,,,,
Vince Lombardi Service Area Truck Parking,parking,"New Jersey Turnpike (both directions), Milepost 116",Ridgefield,NJ,07657,201-945-5112,https://www.njta.gov/service-area/vince-lombardi-service-area-both-directions/,"Large truck parking area at the Vince Lombardi service area near the George Washington Bridge approach, the northernmost Turnpike truck parking in NJ.",I-95,,,yes,yes,,yes,,,,
Port Newark Truck Parking,parking,294 Avenue P,Newark,NJ,07105,908-672-9285,https://www.portnewarktruckparking.com/,"Secured, fenced and lit 8-acre truck and tractor-trailer parking yard off Doremus Ave in the Port Newark district, offering short-term, long-term and container storage with 24/7 access.",I-95,15E,,,,,,,,,yes
Inter City Tire & Auto Center,tire-repair,745 Dowd Ave,Elizabeth,NJ,07201,908-354-1200,https://www.intercitytire.com/,"Large independent commercial tire dealer, retreader and heavy-duty truck repair facility at the Port Newark/Elizabeth Exit 13A off I-95, offering 24/7 road service.",I-95,13A,,,,,,yes,,,
O.J. Food Grade Tank Truck Wash,truck-washes,47-49 Lincoln Highway,Kearny,NJ,07032,973-589-3300,https://www.ojtankwash.com/,"Food-grade tank, reefer and truck wash in South Kearny within about three miles of Port Newark, with nine dedicated wash bays open 24/7.",I-95,15E,,,,,,,,,
Tire Dose Mobile Truck Tire Service,roadside-service,,Newark,NJ,07105,862-406-6404,https://tiredose.com/newark-nj/,"24/7 mobile commercial truck tire repair and replacement covering the Port Newark-Elizabeth marine terminal gates, the Turnpike and Newark, with 22.5 and 24.5 inch tires stocked on service vans.",I-95,15E,,,,,,yes,,,
B&L Recovery & Towing,roadside-service,,Newark,NJ,07114,732-541-0100,https://bltowing.com/,"New Jersey Turnpike-authorized heavy-duty towing and recovery operator serving the Newark/Elizabeth port district and the Turnpike 24/7, with locations including Newark and Carteret.",I-95,,,,,,,yes,,,
George's Truck & Tire Repair,roadside-service,,Newark,NJ,07114,888-507-7015,https://www.gttrnj.com/,"24/7 heavy-duty truck repair, tire service and truck towing serving Newark and the surrounding port/Turnpike corridor.",I-95,,,,,,,yes,,,
Red Roof PLUS+ Newark Liberty Airport - Carteret,hotels-truck-parking,1000 Roosevelt Ave,Carteret,NJ,07008,732-541-9000,https://www.redroof.com/property/nj/carteret/rri1212,Budget hotel near the New Jersey Turnpike (Exit 12) and Newark Liberty Airport that offers on-site truck and trailer parking for drivers.,I-95,12,,,,,,,,yes,
Smith & Solomon Commercial Driver Training - Linden,cdl-schools,1701 Lower Road,Linden,NJ,07036,833-227-3487,https://smithsolomon.com/locations/linden-nj/,"Established CDL Class A/B training school in Linden near the NJ Turnpike, serving the Newark and Elizabeth area.",I-95,13,,,,,,,,,
E-Z Wheels Driving School - Elizabeth,cdl-schools,230 Commerce Place,Elizabeth,NJ,07201,908-441-9500,https://ezwheelsdriving.com/elizabeth/,CDL and commercial driver training school in Elizabeth near Turnpike Exit 13 and the Port Newark-Elizabeth complex.,I-95,13,,,,,,,,,
