rank,business_name,city,state,category,corridor,exit_number,directory_url,category_page,corridor_page,first_ask,recommended_paid_offer,paid_offer_rationale,billing_recommendation,billing_rationale,category_corridor_value,official_website,public_phone,public_email,evidence_source,confidence,first_contact_channel,multi_site_in_our_data,opening_sentence,page_indexable,page_signals,score,listing_id
1,Diesel Truck Repairs,Brinkley,AR,roadside-service,I-40,216,/directory/location/diesel-truck-repairs-brinkley-ar,/directory/roadside-service,/directory/i40,listing-claim (free),featured-listing,high-intent category page; featured sits above standard results,monthly,"single site — monthly lets them stop after one month, which is the honest offer for an unproven directory",Driver is already stopped and cannot move; the first callable listing wins the job.,to source,on listing,to source (we hold none),"in-repo directory record (nationwide audit, PR #187) + live listing page",medium,phone (number is on the listing),no,"You're the roadside repair listing on our I-40 page at Exit 216 in Brinkley — I built it from public information, so I'd rather you checked it than have me guess.",yes,4,14,e945424b-b704-4e3e-9eaa-0ed1ba82fb98
2,Impact Truck and Trailer,Cookeville,TN,roadside-service,I-40,287,/directory/location/impact-truck-and-trailer-cookeville-tn,/directory/roadside-service,/directory/i40,listing-claim (free),featured-listing,high-intent category page; featured sits above standard results,monthly,"single site — monthly lets them stop after one month, which is the honest offer for an unproven directory",Driver is already stopped and cannot move; the first callable listing wins the job.,on listing,to source,to source (we hold none),"in-repo directory record (nationwide audit, PR #187) + live listing page",medium,website contact form (site is on the listing),no,"You're on our I-40 roadside page at Exit 287, one exit from Thompson Truck Group, and I'd like your details right before I talk to anyone about placement.",yes,4,13,910b954b-022b-4076-90dd-ef5e144fa3ef
3,"Thompson Truck Group - Cookeville (International dealer, former Landmark International)",Cookeville,TN,roadside-service,I-40,288,/directory/location/thompson-truck-group-cookeville-international-dealer-former-landmark-international-cookeville-tn,/directory/roadside-service,/directory/i40,listing-claim (free),featured-listing,high-intent category page; featured sits above standard results,monthly,"single site — monthly lets them stop after one month, which is the honest offer for an unproven directory",Driver is already stopped and cannot move; the first callable listing wins the job.,on listing,to source,to source (we hold none),"in-repo directory record (nationwide audit, PR #187) + live listing page",medium,website contact form (site is on the listing),no,"Your Cookeville dealership is on our I-40 page at Exit 288, listed under roadside service — tell me if that is the wrong way to describe what you do.",yes,4,13,50c54637-cbc4-4afc-95f4-10e946870d06
4,Walker Tire (Bill Walker Tire Centers),Asheville,NC,tire-repair,I-40,44,/directory/location/walker-tire-bill-walker-tire-centers-asheville-nc,/directory/tire-repair,/directory/i40,listing-claim (free),featured-listing,high-intent category page; featured sits above standard results,monthly,"single site — monthly lets them stop after one month, which is the honest offer for an unproven directory","Driver with a blown tire searches, calls the nearest listing, buys within the hour.",on listing,to source,to source (we hold none),"in-repo directory record (nationwide audit, PR #187) + live listing page",medium,website contact form (site is on the listing),no,"You're our I-40 tire listing at Exit 44 in west Asheville, built from public information.",yes,4,13,8bb903e1-31e5-49e4-a4c0-26bfbb21cc7e
5,Hamilton Truck and Tire Service,Cincinnati,OH,tire-repair,I-75,,/directory/location/hamilton-truck-and-tire-service-cincinnati-oh,/directory/tire-repair,/directory/i75,listing-claim (free),featured-listing,high-intent category page; featured sits above standard results,monthly,"single site — monthly lets them stop after one month, which is the honest offer for an unproven directory","Driver with a blown tire searches, calls the nearest listing, buys within the hour.",on listing,on listing,to source (we hold none),"in-repo directory record (nationwide audit, PR #187) + live listing page",high,phone (number is on the listing),no,"You're on our I-75 tire page for the Cincinnati stretch — I built the listing from public information, so I'd like you to check it.",yes,5,13,fef1dd1a-90de-48ea-b494-e652fbb84715
6,Ziegler Tire,Walbridge,OH,tire-repair,I-75,,/directory/location/ziegler-tire-walbridge-oh,/directory/tire-repair,/directory/i75,listing-claim (free),featured-listing,high-intent category page; featured sits above standard results,monthly,"single site — monthly lets them stop after one month, which is the honest offer for an unproven directory","Driver with a blown tire searches, calls the nearest listing, buys within the hour.",on listing,on listing,to source (we hold none),"in-repo directory record (nationwide audit, PR #187) + live listing page",high,phone (number is on the listing),no,"You're our I-75 tire listing north of Toledo, near the Hy-Miler and Barney's stops we also list.",yes,5,13,4be0bff5-6246-43d0-8501-159b1d07cf32
7,Snider Fleet Solutions - Florence,Florence,SC,tire-repair,I-95,164,/directory/location/snider-fleet-solutions-florence-florence-sc,/directory/tire-repair,/directory/i95,listing-claim (free),corridor-sponsor,"high-intent category, on a corridor, more than one site in our data",annual,multi-site operator — annual is the cheaper unit and matches a planned budget,"Driver with a blown tire searches, calls the nearest listing, buys within the hour.",on listing,on listing,to source (we hold none),"in-repo directory record (nationwide audit, PR #187) + live listing page",high,phone (number is on the listing),yes,"You've got three locations on our directory — Florence, Savannah and Chattanooga — and two of them sit on the I-95 pages, so I'd rather have one conversation with you than three.",yes,5,13,9659739b-ba64-409b-9d90-e350b6c250ca
8,All Hooked Up Towing & Recovery,Jupiter,FL,roadside-service,I-95,87A,/directory/location/all-hooked-up-towing-recovery-jupiter-fl,/directory/roadside-service,/directory/i95,listing-claim (free),featured-listing,high-intent category page; featured sits above standard results,monthly,"single site — monthly lets them stop after one month, which is the honest offer for an unproven directory",Driver is already stopped and cannot move; the first callable listing wins the job.,on listing,on listing,to source (we hold none),"in-repo directory record (nationwide audit, PR #187) + live listing page",high,phone (number is on the listing),no,"You're on our I-95 roadside page at Exit 87A in Jupiter, and I'd rather you told me the details than have me guess them.",yes,5,12,8f2aedd7-e4a2-40b8-98c0-22c027127390
9,Gary Mobile On-Site Truck & Trailer Repair,Gary,IN,roadside-service,I-65,,/directory/location/gary-mobile-on-site-truck-trailer-repair-gary-in,/directory/roadside-service,/directory/i65,listing-claim (free),featured-listing,high-intent category page; featured sits above standard results,monthly,"single site — monthly lets them stop after one month, which is the honest offer for an unproven directory",Driver is already stopped and cannot move; the first callable listing wins the job.,on listing,on listing,to source (we hold none),"in-repo directory record (nationwide audit, PR #187) + live listing page",high,phone (number is on the listing),no,You're our on-site repair listing for the Gary stretch of I-65 — the one a driver looks for when the truck will not move.,yes,5,12,605eb2aa-f167-4118-b720-5e470775c93d
10,Snider Fleet Solutions - Savannah,Savannah,GA,tire-repair,I-95,,/directory/location/snider-fleet-solutions-savannah-savannah-ga,/directory/tire-repair,/directory/i95,listing-claim (free),corridor-sponsor,"high-intent category, on a corridor, more than one site in our data",annual,multi-site operator — annual is the cheaper unit and matches a planned budget,"Driver with a blown tire searches, calls the nearest listing, buys within the hour.",on listing,on listing,to source (we hold none),"in-repo directory record (nationwide audit, PR #187) + live listing page",high,phone (number is on the listing),yes,"Your Savannah branch is on our I-95 tire pages alongside your Florence one, so this is the same conversation for both.",yes,5,12,7fd02b6b-eeae-4b06-8b67-50c3e9928fec
