name,category,address,city,state,zip,phone,website,description,interstate,exitnumber,showers,food,fuel,laundry,restrooms,repair,catscale,wifi,security
TA Baltimore South #151,truck-stops,7401 Assateague Drive,Jessup,MD,20794,410-799-3835,https://www.ta-petro.com/location/md/ta-baltimore-south/,"Full-service travel center at I-95 Exit 41A (MD 175), the only true truck stop on this stretch. Offers 24-hour diesel, hundreds of truck parking spaces, showers, a Country Pride restaurant, truck service bays, and an on-site CAT Scale.",I-95,41A,yes,yes,yes,yes,yes,yes,yes,yes,
CAT Scale at TA Baltimore South Jessup,cat-scales,7401 Assateague Drive,Jessup,MD,20794,410-799-3835,https://catscale.com/cat-scale-locator/,"Certified CAT Scale located at the TA Baltimore South travel center, I-95 & Route 175 (Exit 41A). Listed on the CAT Scale locator for Jessup, MD.",I-95,41A,,,,,,,yes,,
I-95/I-495 Commercial Vehicle Weigh & Inspection Station (MSP CVED),weigh-stations,I-95/I-495 near US 1,College Park,MD,20740,301-431-2748,https://roads.maryland.gov/mdotsha/pages/Index.aspx?PageId=546,"Fixed truck weigh and inspection station on the eastern Capital Beltway (I-95/I-495) near College Park, operated by the Maryland State Police Commercial Vehicle Enforcement Division. All commercial vehicles over 5 tons must weigh.",I-95,,,,,,,,,,
Maryland I-95 North Welcome Center & Rest Area,parking,"I-95 Northbound, Mile Marker 37",Savage,MD,20763,301-490-2444,https://www.visitmaryland.org/listing/visitor-centers/i-95-north-welcome-center,"MDOT SHA welcome center and rest area on I-95 northbound near Savage (between Exits 35 and 38), with designated truck, RV and bus parking, a dump station, restrooms and vending. Rest area open 24/7.",I-95,,,,,,yes,,,,
Maryland I-95 South Welcome Center & Rest Area,parking,"I-95 Southbound, Mile Marker 37",Savage,MD,20763,301-490-2444,https://www.visitmaryland.org/listing/visitor-centers/i-95-south-welcome-center,"MDOT SHA welcome center and rest area on I-95 southbound in Howard County (between MD 32 and MD 216), expanded to about 60 truck parking spaces via a federally funded 2020s project. Rest area open 24/7.",I-95,,,,,,yes,,,,
"Columbia Fleet Service, Inc.",roadside-service,7661 Assateague Drive,Jessup,MD,20794,410-799-2500,https://www.columbiafleetservice.com/,"Full-service truck and trailer repair shop near I-95 Exit 41A offering 24-hour roadside assistance, heavy-duty towing and recovery, and preventive maintenance for the Jessup/Elkridge/Baltimore corridor.",I-95,41A,,,,,,yes,,,
Maryland Truck Tire Services Inc,tire-repair,8390 Washington Boulevard,Jessup,MD,20794,,https://www.marylandtrucktire.com/,"Commercial truck tire and auto repair shop on Washington Blvd (US 1) near I-95 in Jessup, serving the Baltimore/Jessup/Brooklyn Park area with new, used and recap truck tires and service.",I-95,41A,,,,,,yes,,,
Menendez Road Service,roadside-service,,Jessup,MD,20794,240-601-9664,https://menendezroadservice.com/,"24/7 mobile truck tire repair and roadside service covering the I-95 corridor in Jessup and Elkridge, offering tire patching, tire swaps, fuel delivery and battery service within the DC/MD/VA area.",I-95,41A,,,,,,yes,,,
Heavy Towing Baltimore (BBT & Recovery),roadside-service,,Baltimore,MD,21226,410-789-9800,https://heavytowing-baltimore.com/,"24-hour heavy-duty truck towing and recovery plus mobile truck repair serving I-95, I-695, I-97 and I-895 through the south Baltimore/Elkridge stretch of the corridor.",I-95,,,,,,,yes,,,
VIP Quality Express Truck Wash,truck-washes,7535 Montevideo Road,Jessup,MD,20794,703-568-6514,,Semi truck and trailer wash facility in Jessup near I-95 Exit 41A serving commercial vehicles in the Baltimore/Jessup area.,I-95,41A,,,,,,,,,
A.B. CDL Training,cdl-schools,,Laurel,MD,20707,,https://www.abcdltraining.com/,"CDL training school in Laurel operating since 2002, providing Class B CDL instruction with passenger and school-bus endorsements near the I-95/Route 198 corridor.",I-95,33,,,,,,,,,
Prince George's Community College CDL Training (Laurel Center),cdl-schools,"312 Marshall Avenue, Suite 204-A",Laurel,MD,20707,,https://www.pgcc.edu/,Community college CDL (commercial truck driver) training program offered at the PGCC Laurel College Center near the I-95/Route 198 area.,I-95,33,,,,,,,,,
North American Trade Schools (CDL Program),cdl-schools,,Baltimore,MD,21227,,https://natradeschools.edu/programs/commercial-truck-driving/class-a-cdl/,"FMCSA-registered trade school in the Baltimore area offering Class A and Class B CDL truck-driving programs with on-campus CDL testing, serving the south Baltimore/I-95 region.",I-95,,,,,,,,,,
