rank_category,business_name,city,state,corridor,exit_number,directory_url,category_page,corridor_page,why_commercially_valuable,sponsorship_or_claim_opportunity,listing_id
tire-repair,Martino Commercial Tire,West Palm Beach,FL,I-95,,/directory/location/martino-commercial-tire-west-palm-beach-fl,/directory/tire-repair,/directory/i95,Breakdown-driven demand — a driver searching truck tire/repair is in-market immediately and picks the nearest listing.,claimed listing + sponsored placement on its corridor/exit page,738937f9-3b6d-44d2-9c1e-61ce6e0c43dc
tire-repair,Pat's Tire,West Palm Beach,FL,I-95,,/directory/location/pat-s-tire-west-palm-beach-fl,/directory/tire-repair,/directory/i95,Breakdown-driven demand — a driver searching truck tire/repair is in-market immediately and picks the nearest listing.,claimed listing + sponsored placement on its corridor/exit page,7dd25bf6-0e6b-40f2-b2f8-6f84541b781f
tire-repair,Southern Tire & Fleet Service,Jacksonville,FL,I-95,,/directory/location/southern-tire-fleet-service-jacksonville-fl,/directory/tire-repair,/directory/i95,Breakdown-driven demand — a driver searching truck tire/repair is in-market immediately and picks the nearest listing.,claimed listing + sponsored placement on its corridor/exit page,d4513e91-e3b9-43ab-8e65-0d7d1580773f
tire-repair,Snider Fleet Solutions - Savannah,Savannah,GA,I-95,,/directory/location/snider-fleet-solutions-savannah-savannah-ga,/directory/tire-repair,/directory/i95,Breakdown-driven demand — a driver searching truck tire/repair is in-market immediately and picks the nearest listing.,claimed listing + sponsored placement on its corridor/exit page,7fd02b6b-eeae-4b06-8b67-50c3e9928fec
tire-repair,Southern Tire Mart #165,Atlanta,GA,,,/directory/location/southern-tire-mart-165-atlanta-ga,/directory/tire-repair,,Breakdown-driven demand — a driver searching truck tire/repair is in-market immediately and picks the nearest listing.,claimed listing + sponsored placement on its corridor/exit page,f1d1bc65-60ea-43df-87b4-266985431b30
tire-repair,Colony Tire Corporation - Rocky Mount,Rocky Mount,NC,I-95,145,/directory/location/colony-tire-corporation-rocky-mount-rocky-mount-nc,/directory/tire-repair,/directory/i95,Breakdown-driven demand — a driver searching truck tire/repair is in-market immediately and picks the nearest listing.,claimed listing + sponsored placement on its corridor/exit page,469dadae-9ba0-4f80-aacf-eb83ca8efc25
tire-repair,Kenly 95 Truck Service Center,Kenly,NC,I-95,106,/directory/location/kenly-95-truck-service-center-kenly-nc,/directory/tire-repair,/directory/i95,Breakdown-driven demand — a driver searching truck tire/repair is in-market immediately and picks the nearest listing.,claimed listing + sponsored placement on its corridor/exit page,7c5326e4-da4c-4e5b-a0cd-48b3efd82863
tire-repair,McGee Commercial Tire & Service - Hickory,Hickory,NC,I-40,,/directory/location/mcgee-commercial-tire-service-hickory-hickory-nc,/directory/tire-repair,/directory/i40,Breakdown-driven demand — a driver searching truck tire/repair is in-market immediately and picks the nearest listing.,claimed listing + sponsored placement on its corridor/exit page,3ec4da2b-9df7-4bba-913c-c6023b9797ca
tire-repair,Walker Tire (Bill Walker Tire Centers),Asheville,NC,I-40,44,/directory/location/walker-tire-bill-walker-tire-centers-asheville-nc,/directory/tire-repair,/directory/i40,Breakdown-driven demand — a driver searching truck tire/repair is in-market immediately and picks the nearest listing.,claimed listing + sponsored placement on its corridor/exit page,8bb903e1-31e5-49e4-a4c0-26bfbb21cc7e
tire-repair,Hamilton Truck and Tire Service,Cincinnati,OH,I-75,,/directory/location/hamilton-truck-and-tire-service-cincinnati-oh,/directory/tire-repair,/directory/i75,Breakdown-driven demand — a driver searching truck tire/repair is in-market immediately and picks the nearest listing.,claimed listing + sponsored placement on its corridor/exit page,fef1dd1a-90de-48ea-b494-e652fbb84715
tire-repair,Ziegler Tire,Walbridge,OH,I-75,,/directory/location/ziegler-tire-walbridge-oh,/directory/tire-repair,/directory/i75,Breakdown-driven demand — a driver searching truck tire/repair is in-market immediately and picks the nearest listing.,claimed listing + sponsored placement on its corridor/exit page,4be0bff5-6246-43d0-8501-159b1d07cf32
tire-repair,Snider Fleet Solutions - Florence,Florence,SC,I-95,164,/directory/location/snider-fleet-solutions-florence-florence-sc,/directory/tire-repair,/directory/i95,Breakdown-driven demand — a driver searching truck tire/repair is in-market immediately and picks the nearest listing.,claimed listing + sponsored placement on its corridor/exit page,9659739b-ba64-409b-9d90-e350b6c250ca
tire-repair,Taylor & Sons Truck & Tire,Ridgeland,SC,I-95,21,/directory/location/taylor-sons-truck-tire-ridgeland-sc,/directory/tire-repair,/directory/i95,Breakdown-driven demand — a driver searching truck tire/repair is in-market immediately and picks the nearest listing.,claimed listing + sponsored placement on its corridor/exit page,5ad2354d-2ee0-42ab-b983-c07c9716e753
