listing_id,business_name,category,address,city,state,zip,current_latitude,current_longitude,proposed_latitude,proposed_longitude,confidence,source_url,verification_notes,action,queue_reasons
8954f3e6-074f-40a5-b8b5-d960808ab94d,Snider Fleet Solutions - Chattanooga,tire-repair,1148 E 23rd St,Chattanooga,TN,37408,,,,,unresolved,,"none; Address 1148 E 23rd St Chattanooga confirmed on sniderfleet.com/Birdeye/LoopNet, but no source publishing coords for the exact address was reachable (egress proxy blocks WebFetch/Nominatim; search summaries only returned Chattanooga city centroid, rejected). A Trucker Guide 'Snider' hit resolved to 6114 Bonny Oaks Dr (different site) and was rejected.",skip,action=skip
22e3b5de-964b-4b46-84a0-cbc8d5e0d746,Speedway #7115,truck-stops,7420 Bonny Oaks Dr,Chattanooga,TN,37421,,,,,unresolved,,"exhausted web-search; no coordinate source; Address 7420 Bonny Oaks Dr, Chattanooga TN 37421 (I-75 exit 7/7B) well confirmed via Yelp, Loc8NearMe, truckstopsandservices id 47153, Joe's Kwik Marts #981 now at this address, but no source exposed numeric coordinates. Direct geocoder access (Nominatim, Census) blocked by egress policy. Did not fall back to Chattanooga centroid (would be ~10 km off).",skip,action=skip
add1c18a-6a1a-4dd0-8364-a3685f8a4c51,Truck Parking Club - 415 Scruggs Road (Chattanooga),parking,415 Scruggs Road,Chattanooga,TN,,,,,,unresolved,,"exhausted web-search; no coordinate source; 415 Scruggs Road confirmed as Trucker Path Parking lot, zip 37412 (East Ridge), 1 mile off I-75 exit 1 at TN/GA line (truckparkingclub.com and truckerpathparking.com both describe it), but neither page's coordinates were extractable and geocoders were blocked. Chattanooga centroid would be misleading; left null.",skip,action=skip
ccb0260f-c724-403d-9128-09d6a31b4fab,Truck Parking Club - 7422 Bonnyshire Drive (Chattanooga),parking,7422 Bonnyshire Drive,Chattanooga,TN,37416,,,,,unresolved,,"exhausted web-search; no coordinate source; 7422 Bonnyshire Dr, Chattanooga TN 37416 confirmed (Truck Parking Club, Truxspot, LoopNet parcel APN 138-001, Volunteer Express terminal), but no numeric coordinates surfaced in any indexed snippet and geocoder/direct-fetch routes were policy-blocked. Left null rather than guess.",skip,action=skip
34f173ec-5520-4e3b-aa7e-41cd6bb9de9d,Tennessee Weigh Station - I-75 Southbound (Bradley County),weigh-stations,,Cleveland,TN,,,,,,unresolved,https://github.com/tbeerbower/vanlife/blob/08f1da90fa6d4af408d67f92b850b102558302e8/vanlife-backend/src/main/resources/NTAD_Truck_Stop_Parking_9110160632932345500.csv,"negative search: no distinct SB facility found at TN I-75 MM 23.5; Could not confirm a southbound counterpart at MM 23.5 exists. USDOT NTAD lists only the I-75N parking/inspection area at MP 23.5 in Bradley County; trucker directories (coopsareopen, allstays) list the Cleveland site as NB-only; TN THP's official scale complex list has no Bradley County SB station. The nearest documented SB enforce",skip,action=skip
6cd2a291-3ad1-4b4c-9bd1-fcad6df3b8e4,East Tennessee Truck & Trailer Repair,roadside-service,2600 Middlebrook Pike,Knoxville,TN,37921,,,,,unresolved,,"none; No source published coords for 2600 Middlebrook Pike. Also SUSPICIOUS: Yelp (Jan 2026) lists East Tennessee Truck & Trailer Repair at 6221 Old Rutledge Pike, and TruckMap shows 'Petroleum Transport Company' at 2600 Middlebrook Pike - the business may have moved; recommend address re-verification before geocoding.",skip,action=skip
e1c84a38-7da4-4597-ab5e-331b2e755297,Pilot Travel Center #187,truck-stops,100 Merchants Rd,Knoxville,TN,37912,,,,,unresolved,,"exhausted web-search; no coordinate source; Pilot #187, 100 Merchants Rd (aka Merchant Dr), Knoxville TN 37912 at I-75 exit 108 confirmed via TruckMap/allstays/Yelp/truckstopsandservices, but no snippet exposed coordinates and geocoders/pilotflyingj.com were blocked. Knoxville centroid would be ~5 km off; left null.",skip,action=skip
48651de0-1c89-4102-a039-e0703af156ec,Snider Fleet Solutions - Knoxville,tire-repair,10324 Cogdill Rd,Knoxville,TN,37932,,,,,unresolved,,"none; Address 10324 Cogdill Rd confirmed (Snider/Crete Carrier listings, Xome property records) but no reachable source published coords for the exact address; only Knoxville city-centroid values appeared and were rejected.",skip,action=skip
85a4e108-aa86-4a0f-8bd2-aa595ed5c6a2,Southern Tire Mart #230 - Knoxville,tire-repair,6110 Rutledge Pike,Knoxville,TN,37924,,,,,unresolved,,"none; Address 6110 Rutledge Pike confirmed on stmtires.com/locations/store-230 and Bridgestone/Michelin dealer pages, but none surfaced printed coords through the search channel (direct fetch of locations.stmtires.com blocked by egress proxy).",skip,action=skip
20055899-b195-49e7-ab99-e86cadf665e4,Speedway #7156 (Lovell Road),truck-stops,617 Lovell Rd,Knoxville,TN,37932,,,,,unresolved,,"exhausted web-search; no coordinate source; Speedway #7156, 617 Lovell Rd, Knoxville TN 37932-3148 at I-40/75 exit 374 confirmed via speedway.com locator, iExit, GasBuddy, TruckMap, but no source exposed numeric coordinates. Left null rather than use city centroid (~15 km off).",skip,action=skip
