name,category,address,city,state,zip,phone,website,description,interstate,exitnumber,showers,food,fuel,laundry,restrooms,repair,catscale,wifi,security
TA West Greenwich,truck-stops,849 Victory Highway,West Greenwich,RI,02817,401-397-7774,https://www.ta-petro.com/location/ri/ta-west-greenwich/,"Full-service TravelCenters of America (#253) on I-95 near the Route 102 junction, with 24/7 BP diesel, roughly 180 truck parking spaces, 3 service bays, showers, laundry, a driver lounge, and Popeyes/Dunkin. The only full truck stop on Rhode Island's I-95 corridor.",I-95,5A,yes,yes,yes,yes,yes,yes,yes,yes,
CAT Scale at TA West Greenwich,cat-scales,849 Victory Highway,West Greenwich,RI,02817,401-397-7774,https://catscale.com/cat-scale-locator/,"Certified CAT Scale located at the TA West Greenwich travel center on I-95, offering guaranteed-accurate axle and gross vehicle weighing.",I-95,5A,,,,,,,yes,,
Sullivan Tire Commercial Truck Center,tire-repair,1199 Jefferson Boulevard,Warwick,RI,02886,401-738-4366,https://www.sullivantire.com/locations/warwick-ri,"Commercial truck tire sales and service center near I-95 in Warwick, offering 24-hour truck road service for fleets and owner-operators.",I-95,13,,,,,,yes,,,
Sterry Street Towing,roadside-service,531 Main Street,Pawtucket,RI,02860,401-722-8968,https://www.sterrystreet.com/,"Long-established (35+ years) light- to heavy-duty towing and recovery operator serving the I-95 corridor around Providence and Pawtucket, with 24/7 emergency response.",I-95,28,,,,,,yes,,,
A Towing,roadside-service,125 Dewey Avenue,Warwick,RI,02886,401-272-2222,https://atowing.com/,"24/7 towing and roadside assistance company offering light, medium, and heavy-duty towing and winch-outs across the Warwick, Cranston, and Providence stretch of I-95.",I-95,13,,,,,,yes,,,
Rhode Island I-95 Richmond Weigh/Inspection Station,weigh-stations,"I-95 South, Richmond (near Hope Valley)",Richmond,RI,02898,,https://dot.ri.gov/,"Fixed weigh/commercial-vehicle inspection site on I-95 southbound in Richmond near the Connecticut line, used by Rhode Island State Police Commercial Enforcement for weight and safety inspections.",I-95,,,,,,,,,,
Rhode Island Welcome Center (I-95 North),parking,"I-95 North, Hope Valley/Richmond (between Exits 4 and 7)",Hope Valley,RI,02832,,https://www.visitri.com/,"RIDOT welcome center/rest area on I-95 North between Exits 4 and 7 near the Connecticut line, offering restrooms and parking; the main building is under renovation with 24/7 temporary restroom facilities into late 2026.",I-95,,,,,,yes,,,,
Best Western West Greenwich Inn,hotels-truck-parking,99 Nooseneck Hill Road,West Greenwich,RI,02817,401-397-5494,https://www.bestwestern.com/en_US/book/hotels-in-west-greenwich/best-western-west-greenwich-inn/propertyCode.40003.html,"Hotel just off I-95 Exit 6 in West Greenwich that explicitly provides on-site truck and bus parking, plus covered motorcycle parking.",I-95,6,,,,,yes,,,yes,
Motel 6 Warwick - Providence Airport,hotels-truck-parking,20 Jefferson Boulevard,Warwick,RI,02888,401-467-9800,https://www.motel6.com/us/rhode-island/warwick/,"Economy hotel directly off I-95 in Warwick near T.F. Green Airport that offers free truck parking able to accommodate trucks, buses, and RVs.",I-95,13,,,,,,,,yes,
New England Tractor Trailer Training School (NETTTS) Rhode Island,cdl-schools,600 Moshassuck Valley Industrial Highway,Pawtucket,RI,02860,401-725-1220,https://nettts.com/campuses/pawtucket-ri/,"CDL Class A and B truck driver training school with an on-site training yard, located near I-95/I-295 in Pawtucket serving the Providence area and southern New England.",I-95,28,,,,,,,,,
