name,category,address,city,state,zip,phone,website,description,interstate,exitnumber,showers,food,fuel,laundry,restrooms,repair,catscale,wifi,security
Speedy's Truck Stop,truck-stops,35960 Grant Rd,Lupton,AZ,86508,928-688-2775,,"Independent 24-hour truck stop at the New Mexico state line in Lupton with a diner known for Navajo tacos, fuel islands, showers and a laundromat.",I-40,359,yes,yes,yes,yes,yes,yes,,,
I-40 Sanders Port of Entry (Weigh Station),weigh-stations,,Sanders,AZ,86512,928-688-2741,https://azdot.gov/mvd/services/enforcement/port-entry-locations,"Arizona Department of Transportation commercial port of entry and truck scale on westbound I-40 near Sanders, around mile marker 340, with PrePass bypass.",I-40,,,,,,,,,,
Chambers Mobil,truck-stops,I-40 & Hwy 191,Chambers,AZ,86502,928-688-6880,,24-hour Mobil fuel stop and convenience store at the I-40/US-191 junction in Chambers offering diesel and commercial fleet fueling.,I-40,333,,yes,yes,,yes,,,,
Hopi Travel Plaza,truck-stops,I-40 Exit 292 & Hwy 77 N,Holbrook,AZ,86025,928-524-1400,,"Long-running independent Native-nation travel plaza in Holbrook at the Hwy 77 exit with truck fuel islands, convenience store, showers and laundry for drivers.",I-40,292,yes,,yes,yes,yes,,,,
TA Holbrook,truck-stops,3747 Express Dr,Holbrook,AZ,86025,928-524-3006,https://www.ta-petro.com/location/az/ta-holbrook/,"TravelCenters of America full-service travel center at I-40 Exit 283 in Holbrook with Shell diesel, truck parking, showers, a Popeyes and a 24-hour truck service shop.",I-40,283,yes,yes,yes,,yes,yes,,yes,
Love's Travel Stop #278,truck-stops,4703 Main St,Joseph City,AZ,86032,,https://www.loves.com/locations/az/joseph-city/loves-travel-stop-joseph-city-278,"24-hour Love's Travel Stop at I-40 Exit 277 in Joseph City serving the Holbrook-Winslow corridor with diesel, truck parking, showers and a store deli.",I-40,277,yes,yes,yes,,yes,,,yes,
Love's Travel Stop #971,truck-stops,720 Transcon Ln,Winslow,AZ,86047,928-288-6037,https://www.loves.com/locations/az/winslow/loves-travel-stop-winslow-971,"Newer Love's Travel Stop at I-40 Exit 255 in Winslow with 81 truck spaces, diesel bays, showers, laundry, a CAT scale and Arby's/Dunkin' inside.",I-40,255,yes,yes,yes,yes,yes,,yes,yes,
Flying J Travel Center #612,truck-stops,400 Transcon Ln,Winslow,AZ,86047,928-289-2081,https://locations.pilotflyingj.com/us/az/winslow/400-transcon-ln,"Pilot Flying J travel center at I-40 Exit 255 in Winslow with a Denny's, many truck parking spaces, showers, laundry, a CAT scale and on-site tire/truck service.",I-40,255,yes,yes,yes,yes,yes,yes,yes,yes,
Pilot Travel Center (Flying J) - Bellemont,truck-stops,12500 W I-40,Bellemont,AZ,86015,,https://locations.pilotflyingj.com/us/az/bellemont/12500-w-i-40,"Full-service Pilot/Flying J travel center at I-40 Exit 185 in Bellemont, just west of Flagstaff, with diesel lanes, showers, an on-site CAT scale, McDonald's and Subway.",I-40,185,yes,yes,yes,,yes,,yes,yes,
Little America Travel Center - Flagstaff,truck-stops,2515 E Butler Ave,Flagstaff,AZ,86004,928-779-7942,https://www.littleamerica.com/flagstaff,"Long-established Little America truck plaza and hotel off I-40 Exit 198 (Butler Ave) in Flagstaff, offering 24-hour diesel fueling, showers, laundry and a restaurant.",I-40,198,yes,yes,yes,yes,yes,,,,
CAT Scale - Pilot Bellemont,cat-scales,12500 W I-40,Bellemont,AZ,86015,928-773-0180,https://catscale.com/cat-scale-locator/,Certified CAT Scale for truck weighing located at the Pilot Travel Center at I-40 Exit 185 in Bellemont.,I-40,185,,,,,,,yes,,
Bellemont Truck Repair & Towing,roadside-service,13235 Bellemont Camp Rd,Bellemont,AZ,86015,928-214-0700,http://bellemonttruckrepair.com/,"Heavy-duty truck and trailer repair shop with 24-hour emergency road service, towing and tire work, located near I-40 Exit 185 across from the Pilot truck stop in Bellemont.",I-40,185,,,,,,yes,,,
Rocky Mountain Truck Centers - Flagstaff,roadside-service,2515 E Butler Ave,Flagstaff,AZ,86004,,https://247breakdown.com/flagstaff-arizona/,"Heavy-duty and semi-truck mobile repair shop located next to Little America just off I-40 in Flagstaff, offering 24-hour roadside diesel mechanic service.",I-40,198,,,,,,yes,,,
Golightly Tire,tire-repair,3900 E Huntington Dr,Flagstaff,AZ,86004,,https://www.golightlytire.com/,"Full-service commercial and truck tire dealer in east Flagstaff serving the I-40 corridor with tire sales, service and mobile tire repair.",I-40,,,,,,,yes,,,
I-40 Truck Wash,truck-washes,,Flagstaff,AZ,,928-600-0179,https://www.i40truckwash.com/,"Truck and RV power-wash service in Flagstaff near the I-17 and I-40 junction using biodegradable detergents, by appointment.",I-40,,,,,,,,,,
Love's Travel Stop #553,truck-stops,1055 N Grand Canyon Blvd,Williams,AZ,86046,928-635-9958,https://www.loves.com/locations/az/williams/loves-travel-stop-williams-553,"24-hour Love's travel stop in Williams just off I-40 Exit 163 with truck fueling, showers, a Love's Truck Tire Care center, and a CAT scale.",I-40,163,yes,yes,yes,,yes,yes,yes,yes,
TA Kingman #094,truck-stops,946 W Beale St,Kingman,AZ,86401,928-753-7600,https://www.ta-petro.com/location/az/ta-kingman/,"TravelCenters of America full-service truck stop on the west side of Kingman at I-40 Exit 48 with fuel, restaurant, showers, and truck repair.",I-40,48,yes,yes,yes,,yes,yes,,,
Flying J Travel Center #610,truck-stops,3300 E Andy Devine Ave,Kingman,AZ,86401,928-757-7300,https://locations.pilotflyingj.com/us/az/kingman/3300-e-andy-devine-ave,"Pilot Flying J travel center at I-40 Exit 53 in Kingman offering diesel lanes, showers, laundry, Wi-Fi, and an on-site CAT scale.",I-40,53,yes,yes,yes,yes,yes,yes,yes,yes,
Love's Travel Stop #272,truck-stops,6035 E Minerva Ln,Kingman,AZ,86401,928-681-4405,https://www.loves.com/locations/az/kingman/loves-travel-stop-kingman-272,"24-hour Love's travel stop at I-40 Exit 59 in Kingman with truck parking, fuel lanes, showers, and a truck service bay.",I-40,59,yes,yes,yes,,yes,yes,,yes,
Petro Stopping Center #315 (Petro Kingman),truck-stops,970 S Blake Ranch Rd,Kingman,AZ,86401,928-681-5246,https://www.ta-petro.com/location/az/petro-kingman/,"Large Petro/TravelCenters of America stopping center at I-40 Exit 66 (Blake Ranch Road) east of Kingman with a CAT scale, Iron Skillet restaurant, showers, tire and truck repair.",I-40,66,yes,yes,yes,yes,yes,yes,yes,,
Crazy Fred's Truck Stop,truck-stops,2770 S Historic US-66,Kingman,AZ,,928-753-3834,https://crazyfredstruckstop.com/,"Long-running independent truck stop at I-40 Exit 44 in Kingman with a convenience store, deli, laundry, showers, and tire repair.",I-40,44,yes,yes,yes,yes,yes,yes,,,
Topock Port of Entry (Weigh Station),weigh-stations,,Topock,AZ,,928-768-3756,https://azdot.gov/mvd/services/enforcement/port-entry-locations,"Arizona Department of Transportation commercial port of entry and weigh station on I-40 near Topock, about two miles east of the Arizona/California state line, with weigh-in-motion enabled.",I-40,,,,,,,,,,
