site_id,location_id,brand,name,state,city,truck_parking_spaces,prior_disposition,bucket,db_id,evidence,reason
0001,5045,TA,TA Ashland,VA,Ashland,183,manual-review-merge,safe-enrichment,e36e07df-2f06-48a6-9494-8cf3b0f4cc15,site_id->prior-review-exact-production-id,"existing row is missing lat, lng, parking_spaces; blank-only fill prepared from the official master"
0002,5025,TA,TA Greensboro,NC,Whitsett,173,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0003,5036,TA,TA Brookville,PA,Brookville,221,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0006,5022,TA,TA Columbia,NJ,Columbia,172,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0007,5002,TA,TA Eloy,AZ,Eloy,234,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0008,5024,TA,TA Gallup,NM,Gallup,76,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0010,5013,TA,TA Gary,IN,Gary,318,manual-review-merge,safe-enrichment,783d1792-e352-4fb3-bd2b-fc38951c19c8,site_id->prior-review-exact-production-id+row-name-cites-site-number+address-identical,"existing row is missing lat, lng; blank-only fill prepared from the official master"
0011,5028,TA,TA Dayton,OH,Eaton,198,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0012,5037,TA,TA Harrisburg,PA,Harrisburg,178,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0014,5003,TA,TA Las Cruces,NM,Las Cruces,201,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0015,5030,TA,TA Lodi,OH,Seville,237,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0016,5005,TA,TA Tuscaloosa,AL,Tuscaloosa,151,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
0017,5044,TA,TA Baytown,TX,Baytown,173,net-new,exact-match,"(imported-row: name+state unique, value digest 2ac6c659… proven)",site->import name+state; import CSV proven byte-equivalent to production,imported 2026-07-25 from content-identical official data; production values proven unchanged by digest
