name,category,address,city,state,zip,phone,website,description,interstate,exitnumber,showers,food,fuel,laundry,restrooms,repair,catscale,wifi,security
Pilot Travel Center (Roland),truck-stops,123 W Ray Fine Blvd,Roland,OK,,,https://locations.pilotflyingj.com/us/ok,"Pilot travel center at the first I-40 exit inside Oklahoma near the Arkansas line at Fort Smith, serving the Roland/Sallisaw gateway.",I-40,325,yes,yes,yes,,yes,,,yes,
Sallisaw Travel Center,truck-stops,40 East Interstate Circle,Sallisaw,OK,74955,,,Independent travel center directly off I-40 Exit 308 in Sallisaw offering fuel and driver services.,I-40,308,,yes,yes,,yes,,,,
Love's Travel Stop #255,truck-stops,214 S OK-100,Webbers Falls,OK,74470,918-464-2865,https://www.loves.com/locations/ok/webbers-falls/loves-travel-stop-webbers-falls-255,Love's travel stop at I-40 Exit 287 in Webbers Falls with a Love's Truck Care service center and CAT Scale.,I-40,287,yes,yes,yes,,yes,yes,yes,yes,
Flying J Travel Center #702,truck-stops,1255 Gentry Ave,Checotah,OK,,,https://locations.pilotflyingj.com/us/ok,Flying J travel center at the I-40/US-69 junction (Exit 264-B) in Checotah with truck fueling lanes and a CAT scale.,I-40,264,yes,yes,yes,yes,yes,,yes,,
Kwik-N-EZ Auto/Truck Travel Plaza,truck-stops,1201 S Broadway,Checotah,OK,,,,Independent auto/truck travel plaza off I-40 Exit 265 in Checotah.,I-40,265,,yes,yes,,yes,,,,
R & R Truck Stop,truck-stops,102 Dewey Bartlett Road,Henryetta,OK,74437,918-652-7436,,Independent truck stop at I-40 Exit 237 (US-75) in Henryetta with fuel and truck parking.,I-40,237,,yes,yes,,yes,,,,
Love's Travel Stop #274,truck-stops,102 W Coplin St,Okemah,OK,74859,918-623-2024,,"Love's travel stop at I-40 Exit 221 in Okemah with diesel lanes, showers and food.",I-40,221,yes,yes,yes,,yes,,,yes,
FireLake Grand Travel Plaza,truck-stops,765 Grand Casino Blvd,Shawnee,OK,74804,405-964-7652,,"Citizen Potawatomi Nation tribal travel plaza at I-40 Exit 178 near Shawnee with fuel, showers, deli and adjacent Grand Casino.",I-40,178,yes,yes,yes,,yes,,,yes,
I-40 Webbers Falls Weigh Station,weigh-stations,,Webbers Falls,OK,,,,Oklahoma weigh/inspection station on I-40 in the Webbers Falls area where officers perform paperwork and vehicle inspections.,I-40,,,,,,,,,,
Love's Travel Stop #737,truck-stops,3900 S Radio Rd,El Reno,OK,73036,405-422-1904,https://www.loves.com/,"A 24-hour Love's travel stop just off I-40 at the Radio Road exit in El Reno with truck parking, fuel, showers and a store.",I-40,127,yes,yes,yes,,yes,,,yes,
TA Oklahoma City West #059,truck-stops,501 S Morgan Road,Oklahoma City,OK,73128,405-324-5376,https://www.ta-petro.com/,"A full-service TravelCenters of America truck stop on the Morgan Road (Exit 140) I-40 cluster with truck service bays, a CAT scale and driver amenities.",I-40,140,yes,yes,yes,yes,yes,yes,yes,yes,
Love's Travel Stop (Morgan Road),truck-stops,800 S Morgan Rd,Oklahoma City,OK,73128,405-789-0087,https://www.loves.com/,"A 24-hour Love's travel stop on I-40 at Exit 140 (Morgan Road) offering diesel, fuel, showers and a convenience store.",I-40,140,yes,yes,yes,,yes,,,yes,
Flying J Travel Center #703,truck-stops,701 S Morgan Rd,Oklahoma City,OK,73128,405-324-5000,https://locations.pilotflyingj.com/,"A Pilot Flying J travel center on I-40 at Exit 140 in west Oklahoma City with fuel lanes, showers and truck parking.",I-40,140,yes,yes,yes,,yes,,,yes,
Petro Oklahoma City #316,truck-stops,20 S Martin Luther King Ave,Oklahoma City,OK,73117,405-228-7040,https://www.ta-petro.com/,"A Petro Stopping Center off I-40 at the Martin Luther King Avenue interchange east of downtown OKC with an Iron Skillet, truck service bays and a CAT scale.",I-40,,yes,yes,yes,yes,yes,yes,yes,,
CAT Scale at TA Oklahoma City West,cat-scales,501 S Morgan Rd,Oklahoma City,OK,73128,,https://catscale.com/,A certified CAT Scale located at the TA travel center on I-40 at Exit 140 in Oklahoma City.,I-40,140,,,,,,,yes,,
Goodyear Commercial Tire & Service Center #255 - OKC,tire-repair,410 S Morgan Rd,Oklahoma City,OK,73128,405-789-0679,https://www.goodyear.com/,"A Goodyear commercial truck tire and service center at the Morgan Road (Exit 140) I-40 cluster offering truck tire sales, repair and 24-hour roadside service.",I-40,140,,,,,,yes,,,
Oklahoma I-40 Weigh Station (El Reno),weigh-stations,,El Reno,OK,73036,,,State weigh/inspection stations operated on eastbound and westbound I-40 in the El Reno area of Canadian County.,I-40,,,,,,,,,,
Love's Travel Stop #248,truck-stops,10331 N 2310 Rd,Clinton,OK,73601,580-323-1022,https://www.loves.com/locations/ok/clinton/loves-travel-stop-clinton-248,"24-hour Love's travel stop off I-40 Exit 71 at Custer City Rd with fuel, a Subway, showers and truck parking.",I-40,71,yes,yes,yes,,yes,,,yes,
Love's Travel Stop #201,truck-stops,2703 E Highway 66,Elk City,OK,73644,580-225-9162,https://www.loves.com/locations/ok/elk-city/loves-travel-stop-elk-city-201,"Love's country store and travel stop at I-40 Exit 41 in Elk City with fuel, a Subway and diesel lanes.",I-40,41,,yes,yes,,yes,,,yes,
