name,category,address,city,state,zip,phone,website,description,interstate,exitnumber,showers,food,fuel,laundry,restrooms,repair,catscale,wifi,security
Boomtown Casino Truck Stop (Chevron),truck-stops,2100 Garson Rd,Verdi,NV,89439,,https://www.boomtownreno.com,"Casino resort at I-80 Exit 4 near Reno with a Chevron fuel island, food, and truck parking serving I-80 drivers.",I-80,4,,yes,yes,,yes,,,,
TA Sparks (Sierra Sid's),truck-stops,200 N McCarran Blvd,Sparks,NV,89431,775-359-0550,https://www.ta-petro.com/location/nv/ta-sparks/,TravelCenters of America full-service truck stop co-located with Sierra Sid's Casino at I-80 Exit 19 in Sparks.,I-80,19,yes,yes,yes,yes,yes,yes,yes,yes,
Petro Sparks (Alamo Casino),truck-stops,1950 E Greg St,Sparks,NV,89431,775-355-8888,https://www.ta-petro.com/location/nv/petro-sparks/,"Petro Stopping Center at I-80 Exit 21 with about 400 truck parking spaces, Iron Skillet restaurant, and the Alamo Casino.",I-80,21,yes,yes,yes,yes,yes,yes,yes,yes,
Pilot Travel Center #340,truck-stops,465 Pilot Rd,Fernley,NV,89408,775-575-5115,https://locations.pilotflyingj.com/us/nv/fernley/465-pilot-rd,"Pilot travel center at I-80/US-95 Exit 46 in Fernley with diesel lanes, showers, laundry, and a CAT scale.",I-80,46,yes,yes,yes,yes,yes,,yes,yes,
Love's Travel Stop #246,truck-stops,825 Commerce Center Dr,Fernley,NV,89408,775-575-2200,https://www.loves.com/locations/nv/fernley/loves-travel-stop-fernley-246,"Love's Travel Stop at I-80 Exit 46 in Fernley with 7 showers, restaurant, laundry, CAT scale, and Love's Truck Care.",I-80,46,yes,yes,yes,yes,yes,yes,yes,yes,
Flying J Travel Center #1005,truck-stops,480 Truck Inn Way,Fernley,NV,89408,775-575-5919,https://locations.pilotflyingj.com/us/nv/fernley/480-truck-inn-way,"Flying J travel plaza at I-80 Exit 48 in Fernley with about 160 truck parking spaces, Denny's, 7 showers, and a CAT scale.",I-80,48,yes,yes,yes,,yes,,yes,yes,
Rye Patch Chevron Truck Stop,truck-stops,1305 Rye Patch Reservoir Rd,Lovelock,NV,89419,,,"Independent 24-hour Chevron truck stop at I-80 Exit 129 near Lovelock with roughly 60 truck spaces, 6 diesel lanes, and showers.",I-80,129,yes,yes,yes,,yes,,,,
Love's Travel Stop #797,truck-stops,3550 W Winnemucca Blvd,Winnemucca,NV,89445,775-375-3070,https://www.loves.com/locations/nv/winnemucca/loves-travel-stop-winnemucca-797,"24-hour Love's travel center at I-80 Exit 176 in Winnemucca with 8 showers, Carl's Jr., CAT scale, Speedco, and tire service.",I-80,176,yes,yes,yes,yes,yes,yes,yes,yes,
Flying J Travel Center #770,truck-stops,1880 W Winnemucca Blvd,Winnemucca,NV,89445,775-623-0111,https://locations.pilotflyingj.com/us/nv/winnemucca/1880-w-winnemucca-blvd,"24-hour Flying J travel plaza at I-80 Exit 176 in Winnemucca with about 105 truck spaces, 10 fuel lanes, 9 showers, and a CAT scale.",I-80,176,yes,yes,yes,,yes,,yes,yes,
CAT Scale - Love's #797,cat-scales,3550 W Winnemucca Blvd,Winnemucca,NV,89445,,https://catscale.com/cat-scale-locator/,Certified CAT Scale located at the Love's Travel Stop at I-80 Exit 176 in Winnemucca.,I-80,176,,,,,,,yes,,
CAT Scale - Flying J #770,cat-scales,1880 W Winnemucca Blvd,Winnemucca,NV,89445,,https://catscale.com/cat-scale-locator/,Certified CAT Scale located at the Flying J travel center at I-80 Exit 176 in Winnemucca.,I-80,176,,,,,,,yes,,
CAT Scale - Love's #246,cat-scales,825 Commerce Center Dr,Fernley,NV,89408,,https://catscale.com/cat-scale-locator/,Certified CAT Scale located at the Love's Travel Stop at I-80 Exit 46 in Fernley.,I-80,46,,,,,,,yes,,
CAT Scale - Pilot #340,cat-scales,465 Pilot Rd,Fernley,NV,89408,,https://catscale.com/cat-scale-locator/,Certified CAT Scale located at the Pilot Travel Center at I-80 Exit 46 in Fernley.,I-80,46,,,,,,,yes,,
CAT Scale - Flying J #1005,cat-scales,480 Truck Inn Way,Fernley,NV,89408,,https://catscale.com/cat-scale-locator/,Certified CAT Scale located at the Flying J travel center at I-80 Exit 48 in Fernley.,I-80,48,,,,,,,yes,,
CAT Scale - TA Sparks,cat-scales,200 N McCarran Blvd,Sparks,NV,89431,,https://catscale.com/cat-scale-locator/,Certified CAT Scale located at TA Sparks (Sierra Sid's) at I-80 Exit 19.,I-80,19,,,,,,,yes,,
CAT Scale - Petro Sparks,cat-scales,1950 E Greg St,Sparks,NV,89431,,https://catscale.com/cat-scale-locator/,Certified CAT Scale located at the Petro Stopping Center at I-80 Exit 21 in Sparks.,I-80,21,,,,,,,yes,,
Blue Beacon Truck Wash of Fernley,truck-washes,865 Pilot Rd,Fernley,NV,89408,775-575-4446,https://bluebeacon.com/locations/listing/fernley-nv,"Blue Beacon truck and trailer wash at I-80 Exit 46, located behind the Pilot travel plaza in Fernley.",I-80,46,,,,,yes,,,,
Petro Sparks Truck Wash,truck-washes,1950 E Greg St,Sparks,NV,89431,775-355-8888,https://www.ta-petro.com/location/nv/petro-sparks/,On-site truck wash at the Petro Stopping Center at I-80 Exit 21 in Sparks.,I-80,21,,,,,yes,,,,
TA Sparks Truck Wash,truck-washes,200 N McCarran Blvd,Sparks,NV,89431,775-359-0550,https://www.ta-petro.com/location/nv/ta-sparks/,On-site semi truck wash at TA Sparks (Sierra Sid's) at I-80 Exit 19.,I-80,19,,,,,yes,,,,
Love's Truck Care - Fernley,tire-repair,825 Commerce Center Dr,Fernley,NV,89408,775-575-2200,https://www.loves.com/locations/nv/fernley/loves-travel-stop-fernley-246,Love's Truck Care commercial truck repair and tire service at the Love's Travel Stop at I-80 Exit 46 in Fernley.,I-80,46,,,,,,yes,,,
Speedco at Love's #797,tire-repair,3550 W Winnemucca Blvd,Winnemucca,NV,89445,775-375-3070,https://www.loves.com/locations/nv/winnemucca/loves-travel-stop-winnemucca-797,"Speedco tire, lube, and light mechanical service at the Love's Travel Stop at I-80 Exit 176 in Winnemucca.",I-80,176,,,,,,yes,,,
FYX Fleet Services (Mobile) Winnemucca,roadside-service,,Winnemucca,NV,89445,855-487-1033,,"24/7 mobile truck, trailer, and tire roadside repair dispatch serving the I-80 Exit 176 area in Winnemucca.",I-80,176,,,,,,yes,,,
Trinity Rest Area,parking,,Lovelock,NV,,,,NDOT rest area at the I-80/US-95 junction west of Lovelock with vault restrooms and 14 commercial truck parking spaces.,I-80,,,,,,yes,,,yes,
Cosgrave Rest Area,parking,,Imlay,NV,,,,"NDOT rest area on I-80 between Lovelock and Winnemucca with restrooms, RV dump, and commercial truck parking.",I-80,,,,,,yes,,,,
Broadway Flying J Travel Plaza,truck-stops,650 W Front St,Battle Mountain,NV,89820,775-635-5424,https://locations.pilotflyingj.com/us/nv/battle-mountain/650-w-front-st,"Independent Broadway-operated Flying J plaza at I-80 Exit 229 with 24/7 dining, showers, laundry, a CAT scale and about 70 paved truck spaces.",I-80,229,yes,yes,yes,yes,yes,yes,yes,yes,
