name,category,address,city,state,zip,phone,website,description,interstate,exitnumber,showers,food,fuel,laundry,restrooms,repair,catscale,wifi,security
Iowa 80 Truckstop (TA Walcott),truck-stops,755 W Iowa 80 Rd,Walcott,IA,52773,563-284-6961,https://iowa80truckstop.com/,"The World's Largest Truckstop, a 220-acre complex with ~900 truck parking spaces, multiple restaurants, 24 private showers, a service center, truck wash and CAT Scale, open 24/7.",I-80,284,yes,yes,yes,yes,yes,yes,yes,yes,
Pilot Travel Center - Walcott (3500 N Plainview),truck-stops,3500 N Plainview Rd,Walcott,IA,52773,,https://locations.pilotflyingj.com/us/ia/walcott/3500-n-plainview-rd,"Pilot Travel Center at I-80 Exit 284 with about 160 truck parking spaces, 11 diesel lanes, showers and an Arby's, open 24 hours.",I-80,284,yes,yes,yes,,yes,,,yes,
Pilot Travel Center - Walcott (2975 N Plainview),truck-stops,2975 N Plainview Rd,Walcott,IA,52773,,https://locations.pilotflyingj.com/us/ia/walcott/2975-n-plainview-rd,"Pilot Travel Center at I-80 Exit 284 with 10 diesel lanes, showers and a Subway, open 24 hours.",I-80,284,yes,yes,yes,,yes,,,yes,
Love's Travel Stop #476,truck-stops,8255 Northwest Blvd,Davenport,IA,52806,,https://www.loves.com/,"Love's Travel Stop at I-80 Exit 292 providing 24/7 diesel and gas fueling, a convenience store, food and showers.",I-80,292,yes,yes,yes,,yes,,,yes,
Flying J Travel Center #636,truck-stops,8200 Northwest Blvd,Davenport,IA,52806,563-386-7710,https://locations.pilotflyingj.com/us/ia/davenport/8200-northwest-blvd,"Flying J travel plaza at I-80 Exit 292 with about 146 truck parking spaces, 12 diesel lanes, 15 showers, a Denny's and a CAT Scale, open 24 hours.",I-80,292,yes,yes,yes,,yes,,yes,yes,
Kum & Go - Coralville,truck-stops,822 1st Ave,Coralville,IA,52241,,,"24-hour fuel stop at I-80 Exit 242 with diesel lanes, a convenience store and deli and a small number of truck parking spaces.",I-80,242,,yes,yes,,yes,,,,
CAT Scale (Iowa 80 Truckstop),cat-scales,390 W Iowa 80 Rd,Walcott,IA,52773,563-284-6961,https://catscale.com/cat-scale-locator/,Certified CAT Scale at the Iowa 80 Truckstop complex off I-80 Exit 284.,I-80,284,,,,,,,yes,,
Truckomat Truck Wash,truck-washes,385 W Iowa 80 Rd,Walcott,IA,52773,,https://iowa80truckstop.com/services-amenities/amenities/truckomat/,"24-hour truck and RV wash at the Iowa 80 Truckstop complex off I-80 Exit 284, offering fuel discounts when washing and fueling the same day.",I-80,284,,,,,,,,,
Blue Beacon Truck Wash - Walcott,truck-washes,1001 Walker St,Walcott,IA,52773,,https://bluebeacon.com/locations/listing/walcott-ia,Blue Beacon truck and trailer wash located near the Iowa 80 Truckstop at I-80 Exit 284.,I-80,284,,,,,,,,,
Iowa 80 Truck Service Center (TA),roadside-service,755 W Iowa 80 Rd,Walcott,IA,52773,563-284-6961,https://iowa80truckstop.com/services-amenities/amenities/truck-service-center/,"Full-service truck and trailer repair center at the Iowa 80 Truckstop off I-80 Exit 284, offering tire service and road service.",I-80,284,,,,,,yes,,,
Days Inn by Wyndham Walcott Davenport,hotels-truck-parking,2889 N Plainview Rd,Walcott,IA,52773,563-284-6600,https://www.wyndhamhotels.com/days-inn/walcott-iowa/days-inn-walcott-davenport/overview,"Hotel just off I-80 Exit 284 near the Iowa 80 Truckstop offering free truck, bus and RV parking.",I-80,284,,,,,,,,yes,
I-80 Wilton Rest Area (Eastbound),parking,,Wilton,IA,,,https://iowadot.gov/modes-travel/roads-highways/maintenance/rest-areas,"Iowa DOT eastbound rest area near I-80 mile marker 270 with truck and car parking, restrooms, vending and Wi-Fi.",I-80,,,,,,yes,,,yes,
I-80 Wilton Welcome Center (Westbound),parking,,Wilton,IA,,,https://iowadot.gov/modes-travel/roads-highways/maintenance/rest-areas,"Iowa DOT westbound welcome center/rest area at I-80 mile marker 270 with truck and car parking, restrooms, vending and Wi-Fi.",I-80,,,,,,yes,,,yes,
