name,category,address,city,state,zip,phone,website,description,interstate,exitnumber,showers,food,fuel,laundry,restrooms,repair,catscale,wifi,security
TA Oakley (TravelCenters of America),truck-stops,1001 Hwy 40,Oakley,KS,67748,785-672-4111,https://www.ta-petro.com/location/ks/ta-oakley/,"Full-service TravelCenters of America truck stop at I-70/US-40 with Phillips 66 diesel, an on-site IHOP, showers, laundry, and roughly 84 truck parking spaces.",I-70,76,yes,yes,yes,yes,yes,yes,,yes,
CAT Scale at TA Oakley,cat-scales,1001 Hwy 40,Oakley,KS,67748,785-672-4111,https://catscale.com/,Certified CAT Scale located at the I-70/US-40 travel center in Oakley for weighing loaded semis.,I-70,76,,,,,,,yes,,
JJ Travel Stop (J-J Oil Co),truck-stops,465 US Highway 83,Oakley,KS,67748,785-672-3900,,"Independent truck stop at the I-70/US-83 exit in Oakley offering diesel, a deli, showers, and repair service.",I-70,70,yes,yes,yes,,yes,yes,,,
Mitten Truck Repair Service,roadside-service,1001 Hwy 40,Oakley,KS,67748,,https://mitteninc.com/,Locally-operated 24-hour truck repair and truck-wash operation at the Oakley I-70/US-40 travel center with roadside service trucks.,I-70,76,,,,,,yes,,,
Pilot Travel Center #920,truck-stops,1110 E Willow Ave,Colby,KS,67701,,https://locations.pilotflyingj.com/us/ks/colby/1110-e-willow-ave,"Major Pilot travel center at I-70 Exit 54 in Colby with diesel lanes, showers, laundry, a quick-service restaurant, and an on-site CAT Scale.",I-70,54,yes,yes,yes,yes,yes,,yes,yes,
CAT Scale at Pilot Travel Center Colby,cat-scales,1110 E Willow Ave,Colby,KS,67701,,https://catscale.com/,Certified CAT Scale at the Pilot travel center off I-70 Exit 54 in Colby.,I-70,54,,,,,,,yes,,
24/7 Travel Store - Goodland,truck-stops,2710 Commerce Rd,Goodland,KS,67735,785-899-7179,https://24-7stores.com/locations/goodland/,"24-hour travel store at I-70 Exit 17 (Hwy 27) in Goodland with diesel lanes, certified scales, showers, laundry, and Qdoba/Chester's food, plus about 50 paved truck spaces.",I-70,17,yes,yes,yes,yes,yes,,,,
Kanorado Weigh Station (KHP Scale 46),weigh-stations,,Kanorado,KS,67741,785-399-2772,,"Kansas Highway Patrol commercial-vehicle weigh station on I-70 eastbound near the Colorado state line at Kanorado, open weekdays.",I-70,,,,,,,,,,
Petro Stopping Center Salina,truck-stops,2125 N 9th St,Salina,KS,67401,785-825-7723,https://www.ta-petro.com/location/ks/petro-salina/,"Full-service Petro truck stop off I-70 Exit 252 with an Iron Skillet restaurant, a CAT scale, showers, and 24-hour diesel.",I-70,252,yes,yes,yes,yes,yes,yes,yes,,
Flying J Travel Center #659,truck-stops,2250 N Ohio St,Salina,KS,67401,785-825-5300,https://locations.pilotflyingj.com/us/ks/salina/2250-n-ohio-st,"Pilot Flying J travel center at I-70 Exit 253 offering diesel lanes, a CAT scale, showers, laundry, and a drivers lounge.",I-70,253,yes,yes,yes,yes,yes,,yes,yes,
Pilot Travel Center #903,truck-stops,1944 N 9th St,Salina,KS,67401,785-825-6787,https://locations.pilotflyingj.com/us/ks/salina/1944-n-9th-st,"Pilot travel center at I-70 Exit 252 with diesel and gas fuel, showers, restrooms, food, and semi-truck parking.",I-70,252,yes,yes,yes,,yes,,,yes,
24/7 Travel Store Russell,truck-stops,1415 S Fossil St,Russell,KS,67665,785-483-4480,https://24-7stores.com/locations/russell/,"Independent 24/7 travel store at I-70 Exit 184 (US-281) with fuel, a restaurant, tire and mechanic service, and truck parking.",I-70,184,,yes,yes,yes,yes,yes,,yes,
