name,category,address,city,state,zip,phone,website,description,interstate,exitnumber,showers,food,fuel,laundry,restrooms,repair,catscale,wifi,security
TA Council Bluffs,truck-stops,3210 South 7th Street,Council Bluffs,IA,51501,712-366-2217,https://www.ta-petro.com/location/ia/ta-council-bluffs/,"Full-service TravelCenters of America travel center on the I-80/I-29 concurrency with a Country Pride restaurant, 78 truck parking spaces and truck service bays.",I-80,3 (I-29/80),yes,yes,yes,,yes,yes,,yes,
Pilot Travel Center #329,truck-stops,2647 South 24th Street,Council Bluffs,IA,51501,712-322-0088,https://locations.pilotflyingj.com/us/ia/council-bluffs/2647-s-24th-st,"24-hour Pilot travel center on the I-80/I-29 concurrency at Exit 1B with Arby's, a CAT Scale, laundry and showers.",I-80,1B (I-29/80),yes,yes,yes,yes,yes,,yes,yes,
Sapp Bros Council Bluffs Travel Center,truck-stops,2608 South 24th Street,Council Bluffs,IA,51501,712-322-3000,https://www.sappbros.net/location/sapp-bros-council-bluffs/,"Independent Sapp Bros travel center on the I-80/I-29 concurrency with the Apple Barrel Restaurant, Burger King, certified scales, truck repair bays and showers.",I-80,1B (I-29/80),yes,yes,yes,yes,yes,yes,,yes,
Love's Travel Stop #426,truck-stops,10 E Street,Shelby,IA,51570,712-207-2441,https://www.loves.com/locations/ia/shelby/loves-travel-stop-shelby-426,"24-hour Love's travel stop at Exit 34 with McDonald's, Chester's, a CAT Scale and showers.",I-80,34,yes,yes,yes,,yes,,yes,yes,
Casey's Travel Center - Stuart,truck-stops,708 S Division Street,Stuart,IA,50250,,,"Casey's-branded travel center at Exit 93 with diesel, a CAT Scale, deli and showers serving the Stuart truck-stop cluster.",I-80,93,yes,yes,yes,,yes,,yes,yes,
Love's Travel Stop #411,truck-stops,11820 Hickman Road,Clive,IA,50325,,https://www.loves.com/locations/411,"24-hour Love's travel stop on the I-35/I-80 concurrency at Exit 125 (former Flying J site) with a Denny's, roughly 280 parking spaces and showers.",I-80,125 (I-35/80),yes,yes,yes,yes,yes,,,yes,
Pilot Travel Center #373,truck-stops,11957 Douglas Avenue,Des Moines,IA,50322,515-276-1509,https://locations.pilotflyingj.com/us/ia/des-moines/11957-douglas-avenue,24-hour Pilot travel center on the I-35/I-80 concurrency at Exit 126 (Urbandale/Douglas Ave) with about 360 parking spaces and 17 showers.,I-80,126 (I-35/80),yes,yes,yes,yes,yes,,,yes,
Flying J Travel Center #913,truck-stops,3231 Adventureland Drive,Altoona,IA,50009,515-967-7878,https://locations.pilotflyingj.com/us/ia/altoona/3231-adventureland-dr,"Large 24-hour Flying J travel plaza at Exit 142 (US-65) with roughly 350 parking spaces, a CAT Scale, laundry and showers.",I-80,142,yes,yes,yes,yes,yes,,yes,yes,
Kum & Go #32 Colfax,truck-stops,1200 N Walnut Street,Colfax,IA,50054,,https://locations.kumandgo.com/ia/colfax,"Kum & Go fuel stop at Exit 155 with diesel, bulk DEF and limited truck parking (about 3 spaces).",I-80,155,,yes,yes,,yes,,,,
Love's Travel Stop #361,truck-stops,4400 S 22nd Ave E,Newton,IA,50208,641-791-2410,https://www.loves.com/locations/ia/newton/loves-travel-stop-newton-361,"24-hour Love's travel stop at Exit 168 (Newton) with a CAT Scale, fast food and showers.",I-80,168,yes,yes,yes,,yes,,yes,yes,
CAT Scale - Pilot Travel Center #329,cat-scales,2647 South 24th Street,Council Bluffs,IA,51501,,https://catscale.com/cat-scale-locator/,Certified CAT Scale located at the Pilot Travel Center on the I-80/I-29 concurrency at Exit 1B.,I-80,1B (I-29/80),,,,,,,yes,,
CAT Scale - Love's Travel Stop #426,cat-scales,10 E Street,Shelby,IA,51570,712-207-2441,https://catscale.com/cat-scale-locator/,Certified CAT Scale at the Love's travel stop at Exit 34.,I-80,34,,,,,,,yes,,
